slug_a,slug_b,relation,note
c-6809,c-6703,combo,ビルメンの定番資格の組み合わせ
c-5207,c-6703,combo,ビルメンの定番資格の組み合わせ
c-1504,c-1501,exemption,応用情報技術者の合格者は、この高度試験の午前Iが2年間免除
c-1504,c-1502,exemption,応用情報技術者の合格者は、この高度試験の午前Iが2年間免除
c-1504,c-1503,exemption,応用情報技術者の合格者は、この高度試験の午前Iが2年間免除
c-1504,c-1508,exemption,応用情報技術者の合格者は、この高度試験の午前Iが2年間免除
c-1504,c-1510,exemption,応用情報技術者の合格者は、この高度試験の午前Iが2年間免除
c-1504,c-1511,exemption,応用情報技術者の合格者は、この高度試験の午前Iが2年間免除
c-1504,c-1512,exemption,応用情報技術者の合格者は、この高度試験の午前Iが2年間免除
c-1504,c-1539,exemption,応用情報技術者の合格者は、この高度試験の午前Iが2年間免除
c-1504,c-1565,exemption,応用情報技術者の合格者は、この高度試験の午前Iが2年間免除
c-2301,c-2307,exemption,一方の登録者・合格者は、もう一方の試験で共通科目が免除
c-3209,c-3210,exemption,マンション管理士の合格者は、管理業務主任者試験で5問が免除
c-6807,c-1208,exemption,工事担任者(総合種等)の保有で、電気通信主任技術者の一部科目が免除
c-6807,c-1210,exemption,工事担任者(総合種等)の保有で、電気通信主任技術者の一部科目が免除
c-3407,c-3406,step_up,
c-3406,c-3405,step_up,
c-2313,c-2314,step_up,初任者研修から、より実践的な実務者研修へ
c-2314,c-2302,step_up,実務者研修を経て国家資格の介護福祉士へ
c-4105,c-4104,step_up,
c-6803,c-6801,step_up,
c-6806,c-6804,step_up,
c-6801,c-6807,step_up,AI・DDを統合した総合種へ
c-6804,c-6807,step_up,AI・DDを統合した総合種へ
c-4401,c-4402,step_up,調理師の実務経験を経て、専門調理師・調理技能士へ
c-6710,c-6709,step_up,5t未満から、5t以上を扱える移動式クレーン運転士へ
c-2303,c-2601,combo,認定こども園で両方が求められる(保育教諭)
c-4401,c-6004,combo,飲食×製菓で活躍の幅が広がる
c-2308,c-2301,combo,福祉の相談・調整で相性がよい
c-3324,c-3323,step_up,スコアアップで上位の目安へ
c-3323,c-3322,step_up,スコアアップで上位の目安へ
c-4103,c-4102,step_up,
c-4102,c-4101,step_up,
c-4319,c-4318,step_up,
c-4318,c-4317,step_up,
c-3002,c-3001,step_up,
c-3014,c-3013,step_up,
c-3013,c-3012,step_up,
c-4203,c-4202,step_up,国内に加え海外も扱える総合へ
c-2510,c-2511,combo,労務×経営コンサルで活躍の幅が広がる
c-2510,c-2516,combo,労務×お金の知識で人事・相談に強い
c-3701,c-2511,combo,許認可×経営支援で独立の幅が広がる
c-3207,c-3624,combo,不動産×経理で実務に強い
c-6809,c-1205,combo,設備管理(ビルメン)で重宝される組み合わせ
c-1603,c-1205,combo,設備の省エネ×保安で評価される
c-1315,c-1301,combo,設計×施工管理で建築のキャリアが広がる
c-3710,c-4115,combo,医療事務×市販薬の知識で医療・薬局に強い
c-3712,c-3726,combo,医科レセプト×調剤事務で医療事務の幅が広がる
c-4401,c-1103,combo,調理×衛生管理で飲食店の運営に強い
c-6004,c-1103,combo,製菓×衛生管理で菓子店の運営に強い
c-4303,c-4317,combo,美容×ネイルでサロンの提供メニューが広がる
c-5207,c-4502,combo,危険物×消防設備で設備・防災に強い
c-3624,c-2515,combo,経理の簿記×お金の専門FPで相談業務に強い
c-1207,c-1206,step_up,大規模工事の監理技術者になれる1級へ
c-1239,c-1238,step_up,大規模工事の監理技術者になれる1級へ
c-1407,c-1406,step_up,大規模工事の監理技術者になれる1級へ
c-7111,c-7110,step_up,大規模工事の監理技術者になれる1級へ
c-5003,c-5002,step_up,
c-5002,c-5001,step_up,
c-5007,c-5006,step_up,
c-5010,c-5009,step_up,
c-5009,c-5008,step_up,
c-5819,c-5818,step_up,三級から、点検整備の幅が広がる二級へ
c-5818,c-5825,step_up,二級から、高度な整備ができる一級へ
c-4335,c-4334,step_up,
c-1304,c-1301,exemption,建築設備士は、一級建築士試験の受験資格(実務経験)に算入できる
c-7110,c-1304,combo,設備の設計×施工で建築設備のキャリアが広がる
c-6808,c-1206,combo,電気工事の施工×施工管理で現場の幅が広がる
c-3003,c-3004,combo,色彩の二大検定で配色・カラーの実務に強い
c-4334,c-4303,combo,着付け×美容で和装の現場に強い
