slug,pass_rate,applicants,source,note
c-5818,約86%(令和6年度第2回・二級ガソリン学科),,第三者集計（複数の資格情報サイト一致）,二級系代表(最多受験のガソリン)。学科は種別で概ね86〜95%
c-5819,約68%(令和6年度第2回・三級ガソリン学科),,第三者集計（複数の資格情報サイト一致）,三級系代表(三級ガソリン)。学科ベース。三級は独学受験者が多く二級より低め
c-5820,約70〜90%(学科・年度により変動),,第三者集計（複数の資格情報サイト一致）,学科ベース。単年の確定値は一致せずレンジ表記
c-5825,約66%(令和6年度・学科/筆記),,第三者集計（資格情報サイト由来。参考度やや低）,学科(筆記)。口述は約97.5%。実技含む最終合格率は別指標で低い
c-6613,約50%(近年目安),,第三者集計（複数の資格情報サイト一致）,2次元CAD利用技術者試験2級(CBT)。50〜60%とする記載もあり。特定年度非明記
c-6801,約35%前後(近年),,第三者集計（日本データ通信協会統計由来の流通値ほか）,旧AI第1種＝現・第一級アナログ通信。近年 概ね30〜40%台
c-6803,約50%前後(参考・変動大),,第三者集計（複数の資格情報サイト一致）,旧AI第3種＝現・第二級アナログ通信。標本小で回により大きく変動
c-6804,約25〜30%(近年),,第三者集計（複数の資格情報サイト一致）,旧DD第1種＝現・第一級デジタル通信。難関区分
c-6806,約55%前後(近年),,第三者集計（複数の資格情報サイト一致）,旧DD第3種＝現・第二級デジタル通信。人気区分
c-6807,,"約2,167人(令和6年度第2回)",第三者集計（日本データ通信協会 試験種別毎推移表 由来の流通値）,"旧AI・DD総合種＝現・総合通信。申請2,751/受験2,167/合格434。公式現物照合待ち"
