slug,careers,source
c-2517,金融・保険・不動産の窓口業務、家計相談、資産形成の基礎知識活用,https://shigoto.mhlw.go.jp/User/Search/Top
c-4205,貸金業務取扱主任者(消費者金融・信販・クレジット・金融機関の貸付業務),https://shigoto.mhlw.go.jp/User/Search/Top
c-3623,経理、財務、会計事務所スタッフ、税理士・会計士補助、経営管理,https://shigoto.mhlw.go.jp/User/Search/Top
c-3624,経理、会計事務所スタッフ、財務、原価計算、一般事務,https://shigoto.mhlw.go.jp/User/Search/Top
c-3625,一般事務、経理補助、営業事務、商業簿記の基礎活用,https://shigoto.mhlw.go.jp/User/Search/Top
c-4115,登録販売者(ドラッグストア・薬局・スーパー・コンビニの一般用医薬品販売),https://shigoto.mhlw.go.jp/User/Search/Top
c-4401,調理師(飲食店・ホテル・給食施設・福祉施設・病院),https://shigoto.mhlw.go.jp/User/Search/Top
c-5206,危険物施設の保安監督、化学・製造業、ガソリンスタンド、タンクローリー運転、ビルメンテナンス,https://shigoto.mhlw.go.jp/User/Search/Top
c-5207,ガソリンスタンド、化学・製造業、危険物の取扱い・運搬、ビルメンテナンス,https://shigoto.mhlw.go.jp/User/Search/Top
c-5208,ガソリンスタンド、危険物(ガソリン・灯油・軽油等)の取扱い,https://shigoto.mhlw.go.jp/User/Search/Top
c-6808,電気工事士(ビル・工場・大型施設)、電気設備工事、電気保安、設備管理,https://shigoto.mhlw.go.jp/User/Search/Top
c-6809,電気工事士(住宅・店舗・小規模施設)、電気設備工事、ビルメンテナンス,https://shigoto.mhlw.go.jp/User/Search/Top
c-1203,電気主任技術者、発電・送変電設備の保安監督、大規模電気設備の管理,https://shigoto.mhlw.go.jp/User/Search/Top
c-1205,電気主任技術者、ビル・工場の電気設備の保安監督、設備管理、ビルメンテナンス,https://shigoto.mhlw.go.jp/User/Search/Top
c-1301,一級建築士、建築設計、構造設計、設備設計、工事監理、建設会社・設計事務所,https://shigoto.mhlw.go.jp/User/Search/Top
c-1302,二級建築士、住宅・小規模建築の設計・工事監理、設計事務所・工務店,https://shigoto.mhlw.go.jp/User/Search/Top
c-1315,建築施工管理技士、現場監督、施工管理、建設会社の工事管理,https://shigoto.mhlw.go.jp/User/Search/Top
c-1404,土木施工管理技士、現場監督、土木工事の施工管理、建設会社・建設コンサルタント,https://shigoto.mhlw.go.jp/User/Search/Top
c-4303,美容師(美容室・ヘアサロン)、ヘアメイク、ブライダル,https://shigoto.mhlw.go.jp/User/Search/Top
c-4301,理容師(理容室・床屋),https://shigoto.mhlw.go.jp/User/Search/Top
c-5818,自動車整備士(ディーラー・整備工場・カー用品店),https://shigoto.mhlw.go.jp/User/Search/Top
c-1622,気象予報士(気象情報会社・放送・防災・気象コンサルティング),https://shigoto.mhlw.go.jp/User/Search/Top
c-4202,旅行業務取扱管理者(旅行会社・OTA・旅行手配・カウンター業務),https://shigoto.mhlw.go.jp/User/Search/Top
c-2202,衛生管理者、企業の労働衛生管理、人事・総務の安全衛生担当,https://shigoto.mhlw.go.jp/User/Search/Top
c-2203,衛生管理者(第二種)、オフィス系業種の労働衛生管理、人事・総務,https://shigoto.mhlw.go.jp/User/Search/Top
c-1501,システム監査人、内部監査、ITガバナンス・リスク管理、コンサルティング,https://shigoto.mhlw.go.jp/User/Search/Top
c-1502,ネットワークエンジニア、インフラエンジニア、社内SE、通信インフラ構築・運用,https://shigoto.mhlw.go.jp/User/Search/Top
c-1503,システムアーキテクト、上流工程SE、ITコンサルタント、システム設計,https://shigoto.mhlw.go.jp/User/Search/Top
c-1508,ITプロジェクトマネージャ、PMO、SIerのプロジェクト管理、開発リーダー,https://shigoto.mhlw.go.jp/User/Search/Top
c-1510,データベースエンジニア、データ基盤エンジニア、インフラSE、データ管理,https://shigoto.mhlw.go.jp/User/Search/Top
c-1511,ITサービス運用管理、システム運用、運用設計、サービスデスク管理,https://shigoto.mhlw.go.jp/User/Search/Top
c-1512,組込みソフトウェアエンジニア、IoT・制御系開発、機器メーカーの開発職,https://shigoto.mhlw.go.jp/User/Search/Top
c-1539,ITストラテジスト、IT企画、DX推進、ITコンサルタント、CIO補佐,https://shigoto.mhlw.go.jp/User/Search/Top
c-1565,情報セキュリティエンジニア、セキュリティコンサルタント、SOC/CSIRT、社内セキュリティ担当,https://shigoto.mhlw.go.jp/User/Search/Top
c-1555,Webデザイナー、Web制作、コーダー、フロントエンド、UIデザイン,https://shigoto.mhlw.go.jp/User/Search/Top
c-1701,医師(病院・診療所での診療、臨床研究、行政・産業医),https://shigoto.mhlw.go.jp/User/Search/Top
c-1702,歯科医師(歯科医院・病院・口腔外科),https://shigoto.mhlw.go.jp/User/Search/Top
c-1703,獣医師(動物病院・畜産・公務員(家畜防疫・公衆衛生)・製薬),https://shigoto.mhlw.go.jp/User/Search/Top
c-1801,保健師(行政・企業の産業保健・学校・地域包括支援センター),https://shigoto.mhlw.go.jp/User/Search/Top
c-1802,助産師(産科医療機関・助産院・母子保健),https://shigoto.mhlw.go.jp/User/Search/Top
c-1909,視能訓練士(眼科医療機関・検査・視機能リハビリ),https://shigoto.mhlw.go.jp/User/Search/Top
c-1910,言語聴覚士(病院・リハビリ施設・小児療育・介護施設),https://shigoto.mhlw.go.jp/User/Search/Top
c-2101,あん摩マッサージ指圧師(治療院・施術所・病院・介護施設),https://shigoto.mhlw.go.jp/User/Search/Top
c-2102,はり師(鍼灸院・治療院・スポーツ分野),https://shigoto.mhlw.go.jp/User/Search/Top
c-2103,きゅう師(鍼灸院・治療院・美容・介護分野),https://shigoto.mhlw.go.jp/User/Search/Top
c-2104,柔道整復師(整骨院・接骨院・スポーツトレーナー・介護機能訓練),https://shigoto.mhlw.go.jp/User/Search/Top
c-2205,義肢装具士(義肢装具製作所・リハビリ・医療機関),https://shigoto.mhlw.go.jp/User/Search/Top
c-2308,ケアマネジャー、居宅介護支援、施設のケアプラン作成、地域包括支援センター,https://shigoto.mhlw.go.jp/User/Search/Top
c-2309,手話通訳士(行政・福祉・医療・イベントの手話通訳),https://shigoto.mhlw.go.jp/User/Search/Top
c-2310,福祉住環境コーディネーター、住宅改修提案、福祉用具相談、建築・介護分野,https://shigoto.mhlw.go.jp/User/Search/Top
c-3112,キャリアコンサルタント、就職・転職支援、人材紹介、企業の人事・キャリア支援、ハローワーク,https://shigoto.mhlw.go.jp/User/Search/Top
c-2406,法務部、コンプライアンス、総務、契約管理、企業法務の実務,https://shigoto.mhlw.go.jp/User/Search/Top
c-2407,企業の知的財産部門の管理職、知財戦略、特許・商標管理、ライセンス交渉,https://shigoto.mhlw.go.jp/User/Search/Top
c-2408,企業の知的財産部門、特許・商標出願管理、知財調査、契約管理,https://shigoto.mhlw.go.jp/User/Search/Top
c-2409,企業の知的財産業務の基礎、研究開発・製造・販売部門での知財管理,https://shigoto.mhlw.go.jp/User/Search/Top
c-2504,証券アナリスト、ファンドマネージャ、運用会社・証券会社の調査・運用、金融機関の審査,https://shigoto.mhlw.go.jp/User/Search/Top
c-3728,銀行・信用金庫の窓口業務(テラー)、金融商品提案、資産運用相談,https://shigoto.mhlw.go.jp/User/Search/Top
c-3730,銀行・信用金庫の窓口業務(テラー)、預金・為替・税金の相談対応,https://shigoto.mhlw.go.jp/User/Search/Top
c-3201,不動産鑑定士、鑑定事務所、金融機関の担保評価、不動産投資・開発の評価、公的評価(地価公示),https://shigoto.mhlw.go.jp/User/Search/Top
c-2703,学芸員(博物館・美術館・資料館での資料収集・保存・展示・調査研究),https://shigoto.mhlw.go.jp/User/Search/Top
c-2813,日本語教師(国内外の日本語学校・大学・地域の日本語教室),https://shigoto.mhlw.go.jp/User/Search/Top
c-3301,通訳案内士、訪日観光ガイド、インバウンド対応、旅行会社,https://shigoto.mhlw.go.jp/User/Search/Top
c-3307,英語を使う通訳・翻訳補助、英語教育、貿易事務、外資系・海外営業,https://shigoto.mhlw.go.jp/User/Search/Top
c-3308,英語を使う事務・営業・教育、貿易事務、外資系・インバウンド対応,https://shigoto.mhlw.go.jp/User/Search/Top
c-3309,英語を使う一般事務・接客・販売、海外旅行・貿易関連の補助業務,https://shigoto.mhlw.go.jp/User/Search/Top
c-3329,中国語通訳・翻訳、貿易事務、観光・インバウンド、中国関連ビジネス,https://shigoto.mhlw.go.jp/User/Search/Top
c-3330,中国語を使う貿易事務・営業・観光対応、中国関連ビジネス,https://shigoto.mhlw.go.jp/User/Search/Top
c-4101,小売・流通の販売・店舗運営、店長・売場責任者、マーチャンダイジング,https://shigoto.mhlw.go.jp/User/Search/Top
c-4102,小売・流通の販売職、売場管理、接客・販売リーダー,https://shigoto.mhlw.go.jp/User/Search/Top
c-4103,販売・接客スタッフ、売場づくり、小売・サービス業の基礎,https://shigoto.mhlw.go.jp/User/Search/Top
c-3710,医療事務、受付・会計、レセプト(診療報酬請求)業務、クラーク,https://shigoto.mhlw.go.jp/User/Search/Top
c-3712,医療事務、レセプト点検、診療報酬請求事務、医療機関の事務,https://shigoto.mhlw.go.jp/User/Search/Top
c-3726,調剤薬局事務、レセプト業務、受付・会計,https://shigoto.mhlw.go.jp/User/Search/Top
c-3727,医療事務、受付・会計、レセプト業務、病院・クリニックの事務,https://shigoto.mhlw.go.jp/User/Search/Top
c-1313,ビル管理技術者、建築物の環境衛生管理、設備管理、ビルメンテナンス,https://shigoto.mhlw.go.jp/User/Search/Top
c-1316,建築施工管理(中小規模)、現場監督、工務店・建設会社の工事管理,https://shigoto.mhlw.go.jp/User/Search/Top
c-1405,土木施工管理(中小規模)、現場監督、建設会社の土木工事管理,https://shigoto.mhlw.go.jp/User/Search/Top
c-1406,造園施工管理、造園工事の現場監督、造園・緑化会社、公園・庭園の整備,https://shigoto.mhlw.go.jp/User/Search/Top
c-7110,管工事施工管理、空調・給排水・衛生設備工事の現場監督、設備会社,https://shigoto.mhlw.go.jp/User/Search/Top
c-1206,電気工事施工管理、電気設備工事の現場監督、電気工事会社,https://shigoto.mhlw.go.jp/User/Search/Top
c-1238,電気通信工事施工管理、通信インフラ・ネットワーク工事の現場監督,https://shigoto.mhlw.go.jp/User/Search/Top
c-1204,電気主任技術者、発電・送変電・大規模需要設備の保安監督、設備管理,https://shigoto.mhlw.go.jp/User/Search/Top
c-1603,エネルギー管理士、工場・ビルの省エネ・エネルギー管理、設備管理,https://shigoto.mhlw.go.jp/User/Search/Top
c-4501,消防設備士(消防設備の工事・整備・点検)、防災設備会社、ビルメンテナンス,https://shigoto.mhlw.go.jp/User/Search/Top
c-4502,消防設備士(消防設備の整備・点検)、防災設備会社、ビルメンテナンス,https://shigoto.mhlw.go.jp/User/Search/Top
c-1609,毒物劇物取扱責任者、化学・製造・販売業の毒物劇物の管理,https://shigoto.mhlw.go.jp/User/Search/Top
c-6702,ボイラー技士、ボイラーの運転・管理、ビル設備管理、工場・プラント,https://shigoto.mhlw.go.jp/User/Search/Top
c-6703,ボイラー技士、ビル設備管理、工場・施設のボイラー運転,https://shigoto.mhlw.go.jp/User/Search/Top
c-1227,冷凍空調設備の保安、ビル設備管理、冷凍・冷蔵施設の管理,https://shigoto.mhlw.go.jp/User/Search/Top
c-1101,食品製造業の衛生管理、食品工場の品質・衛生管理者,https://shigoto.mhlw.go.jp/User/Search/Top
c-1103,飲食店・食品事業者の食品衛生責任者、店舗の衛生管理,https://shigoto.mhlw.go.jp/User/Search/Top
c-4813,倉庫・物流・製造現場のフォークリフト運転、構内運搬,https://shigoto.mhlw.go.jp/User/Search/Top
c-6719,クレーン運転士、建設・港湾・製造現場のクレーン操作,https://shigoto.mhlw.go.jp/User/Search/Top
c-5008,通信設備の操作・保守、放送・通信事業者、基地局・無線設備の管理,https://shigoto.mhlw.go.jp/User/Search/Top
c-6807,電気通信工事、ネットワーク配線、通信設備の工事・保守,https://shigoto.mhlw.go.jp/User/Search/Top
c-4413,ソムリエ、レストラン・ホテルの飲料サービス、ワインの仕入れ・販売,https://shigoto.mhlw.go.jp/User/Search/Top
c-6004,製菓衛生師、パティシエ、製菓・製パン、洋菓子・和菓子店,https://shigoto.mhlw.go.jp/User/Search/Top
