slug	name	missing	official_url	authority
c-1325	建設業経理事務士3級	applicants	https://www.keiri-kentei.jp/exam/	一般財団法人 建設業振興基金
c-1326	建設業経理事務士4級	applicants	https://www.keiri-kentei.jp/exam/	一般財団法人 建設業振興基金
c-1401	第1種ダム水路主任技術者	pass_rate|applicants	https://www.meti.go.jp/information/license/c_text22.html	経済産業省(産業保安監督部)
c-1402	第2種ダム水路主任技術者	pass_rate|applicants	https://www.meti.go.jp/information/license/c_text22.html	経済産業省(産業保安監督部)
c-1403	ダム管理主任技術者	pass_rate|applicants	https://www.meti.go.jp/information/license/c_text22.html	経済産業省(産業保安監督部)
c-1405	2級土木施工管理技士	applicants	https://www.jctc.jp/exam/guide/dbk-2/	一般財団法人 全国建設研修センター
c-1406	1級造園施工管理技士	applicants	https://www.jctc.jp/exam/zouen-1/	一般財団法人 全国建設研修センター(国土交通大臣指定試験機関)
c-1501	システム監査技術者	applicants	https://www.ipa.go.jp/shiken/kubun/au.html	独立行政法人 情報処理推進機構(IPA)
c-1502	ネットワークスペシャリスト	applicants	https://www.ipa.go.jp/shiken/kubun/nw.html	独立行政法人 情報処理推進機構(IPA)
c-1503	システムアーキテクト	applicants	https://www.ipa.go.jp/shiken/kubun/sa.html	独立行政法人 情報処理推進機構(IPA)
c-1506	技術士(情報工学部門)	applicants	https://www.engineer.or.jp/	文部科学省所管(指定試験機関:公益社団法人 日本技術士会)
c-1508	プロジェクトマネージャ	applicants	https://www.ipa.go.jp/shiken/kubun/pm.html	独立行政法人 情報処理推進機構(IPA)
c-1510	データベーススペシャリスト	applicants	https://www.ipa.go.jp/shiken/kubun/db.html	独立行政法人 情報処理推進機構(IPA)
c-1511	ITサービスマネージャ	applicants	https://www.ipa.go.jp/shiken/kubun/sm.html	独立行政法人 情報処理推進機構(IPA)
c-1512	エンベデッドシステムスペシャリスト	pass_rate|applicants	https://www.ipa.go.jp/shiken/kubun/es.html	独立行政法人 情報処理推進機構(IPA)
c-1516	マイクロソフト認定プロフェッショナル(MCP)	pass_rate|applicants	https://learn.microsoft.com/ja-jp/credentials/	日本マイクロソフト株式会社
c-1517	マイクロソフト認定ソリューションエキスパート(MCSE)	pass_rate|applicants	https://learn.microsoft.com/ja-jp/credentials/	日本マイクロソフト株式会社
c-1518	シスコ技術者認定	pass_rate|applicants	https://www.cisco.com/c/ja_jp/training-events/training-certifications/exams.html	シスコシステムズ合同会社
c-1519	オラクルマスター	pass_rate|applicants	https://www.oracle.com/jp/education/certification/	日本オラクル株式会社(Oracle University)
c-1520	Java認定資格	pass_rate|applicants	https://www.oracle.com/jp/education/certification/	日本オラクル株式会社(Oracle University)
c-1527	ITコーディネータ	pass_rate|applicants	https://www.itc.or.jp/	特定非営利活動法人 ITコーディネータ協会
c-1539	ITストラテジスト(ST)	applicants	https://www.ipa.go.jp/shiken/kubun/st.html	独立行政法人 情報処理推進機構(IPA)
c-1541	Linux技術者認定資格	pass_rate|applicants	https://linuc.org/	特定非営利活動法人 LPI-Japan
c-1544	VBAエキスパート	pass_rate|applicants	https://vbae.odyssey-com.co.jp/	株式会社オデッセイコミュニケーションズ
c-1545	JavaTMプログラミング能力認定1級	pass_rate|applicants	https://www.sikaku.gr.jp/js/cpjv/jv/	株式会社サーティファイ
c-1546	JavaTMプログラミング能力認定2級	pass_rate|applicants	https://www.sikaku.gr.jp/js/cpjv/jv/	株式会社サーティファイ
c-1547	JavaTMプログラミング能力認定3級	pass_rate|applicants	https://www.sikaku.gr.jp/js/cpjv/jv/	株式会社サーティファイ
c-1548	C言語プログラミング能力認定試験1級	applicants	https://www.sikaku.gr.jp/js/cpjv/cp/	株式会社サーティファイ
c-1549	C言語プログラミング能力認定試験2級	applicants	https://www.sikaku.gr.jp/js/cpjv/cp/	株式会社サーティファイ
c-1550	C言語プログラミング能力認定試験3級	applicants	https://www.sikaku.gr.jp/js/cpjv/cp/	株式会社サーティファイ
c-1551	Webデザイナー検定(ベーシック)	applicants	https://www.cgarts.or.jp/kentei/wd/	公益財団法人 画像情報教育振興協会(CG-ARTS)
c-1552	Webデザイナー検定(エキスパート)	applicants	https://www.cgarts.or.jp/kentei/wd/	公益財団法人 画像情報教育振興協会(CG-ARTS)
c-1553	Webクリエイター能力認定試験(上級)	pass_rate|applicants	https://www.sikaku.gr.jp/web/wc/	株式会社サーティファイ
c-1554	Webクリエイター能力認定試験(初級)	pass_rate|applicants	https://www.sikaku.gr.jp/web/wc/	株式会社サーティファイ
c-1555	ウェブデザイン技能士	pass_rate|applicants	https://www.webdesign.gr.jp/	特定非営利活動法人 インターネットスキル認定普及協会
c-1556	ホームページ作成検定	pass_rate|applicants	https://www.goukaku.ne.jp/test_home.html	日本情報処理検定協会(日検)
c-1557	CGクリエイター検定	pass_rate|applicants	https://www.cgarts.or.jp/kentei/cg/	公益財団法人 画像情報教育振興協会(CG-ARTS)
c-1558	DTP検定	pass_rate|applicants	https://dtpkentei.jp/	株式会社ボーンデジタル(全日本能率連盟登録資格)
c-1563	Webクリエイター能力認定エキスパート	applicants	https://www.sikaku.gr.jp/web/wc/	株式会社サーティファイ
c-1564	Webクリエイター能力認定スタンダード	applicants	https://www.sikaku.gr.jp/web/wc/	株式会社サーティファイ
c-1603	エネルギー管理士	applicants	https://www.eccj.or.jp/mgr1/test_guide/index.html	一般財団法人 省エネルギーセンター(ECCJ)
c-1607	エックス線作業主任者	pass_rate|applicants	https://www.exam.or.jp/	公益財団法人 安全衛生技術試験協会(免許交付は都道府県労働局長)
c-1608	ガンマ線透過写真撮影作業主任者	pass_rate|applicants	https://www.exam.or.jp/	公益財団法人 安全衛生技術試験協会(免許交付は都道府県労働局長)
c-1609	毒物劇物取扱責任者	applicants	https://www.hokeniryo.metro.tokyo.lg.jp/anzen/iyaku/sonota/d_g/shiken	各都道府県(知事)。例:東京都(保健医療局)/大阪は関西広域連合
c-1610	甲種火薬類取扱保安責任者	pass_rate|applicants	https://www.zenkakyo-ex.or.jp/hoansekininsha.html	都道府県知事(免許交付)/試験事務:公益社団法人 全国火薬類保安協会
c-1611	乙種火薬類取扱保安責任者	pass_rate|applicants	https://www.zenkakyo-ex.or.jp/hoansekininsha.html	都道府県知事(免許交付)/試験事務:公益社団法人 全国火薬類保安協会
c-1612	下水道管理技術認定(処理施設)	pass_rate|applicants		
c-1614	一般廃棄物処理施設技術管理士	pass_rate|applicants	https://www.jesc.or.jp/training/tabid/121/Default.aspx	廃棄物処理法第21条。講習は一般財団法人 日本環境衛生センター(JESC)
c-1615	産業廃棄物処理施設技術管理士	pass_rate|applicants	https://www.jesc.or.jp/training/tabid/121/Default.aspx	廃棄物処理法第21条。講習は日本環境衛生センター(JESC)/日本産業廃棄物処理振興センター(JWセンター)等
c-1616	地質調査技士(区分なし又は旧「土質」)	pass_rate|applicants	https://www.zenchiren.or.jp/geo_comp/	一般社団法人 全国地質調査業協会連合会(全地連)
c-1617	地質調査技士(区分なし又は旧「岩盤」)	pass_rate|applicants	https://www.zenchiren.or.jp/geo_comp/	一般社団法人 全国地質調査業協会連合会(全地連)
c-1618	技術士(経営工学部門)	pass_rate|applicants	https://www.engineer.or.jp/	文部科学省所管(指定試験機関:公益社団法人 日本技術士会)
c-1619	技術士(衛生工学部門)	pass_rate|applicants	https://www.engineer.or.jp/	文部科学省所管(指定試験機関:公益社団法人 日本技術士会)
c-1620	技術士(環境部門)	applicants	https://www.engineer.or.jp/	文部科学省所管(指定試験機関:公益社団法人 日本技術士会)
c-1621	技術士(応用理学部門)	pass_rate|applicants	https://www.engineer.or.jp/	文部科学省所管(指定試験機関:公益社団法人 日本技術士会)
c-1625	下水道第2種技術検定	applicants	https://www.jswa.go.jp/kentei/shikengaiyo.html	地方共同法人 日本下水道事業団(JS)
c-1801	保健師	applicants	https://www.mhlw.go.jp/kouseiroudoushou/shikaku_shiken/hokenshi/	厚生労働省
c-1802	助産師	applicants	https://www.mhlw.go.jp/kouseiroudoushou/shikaku_shiken/josanpu/	厚生労働省
c-1901	臨床検査技師	applicants	https://www.mhlw.go.jp/kouseiroudoushou/shikaku_shiken/rinshoukensagishi/	厚生労働省
c-1902	衛生検査技師	pass_rate|applicants	https://www.mhlw.go.jp/	厚生労働省
c-1908	診療放射線技師	applicants	https://www.mhlw.go.jp/kouseiroudoushou/shikaku_shiken/shinryouhoushasengishi/	厚生労働省
c-1909	視能訓練士	applicants	https://www.mhlw.go.jp/kouseiroudoushou/shikaku_shiken/shinoukunrenshi/	厚生労働省
c-1910	言語聴覚士	applicants	https://www.mhlw.go.jp/kouseiroudoushou/shikaku_shiken/gengochoukakushi/	厚生労働省(試験事務:医療研修推進財団)
c-2002	栄養士	pass_rate|applicants	https://laws.e-gov.go.jp/law/322AC0000000245	都道府県知事(免許交付)/養成施設指定は厚生労働大臣
c-2105	整体師	pass_rate|applicants		
c-2107	リフレクソロジスト資格	pass_rate|applicants		
c-2108	カイロプラクティック資格	pass_rate|applicants		
c-2204	衛生工学衛生管理者	pass_rate|applicants	https://www.jisha.or.jp/edu/course/list/8220_eiko.html	中央労働災害防止協会(都道府県労働局長登録教習機関)
c-2304	ホームヘルパー1級	pass_rate|applicants		
c-2305	ホームヘルパー2級	pass_rate|applicants		
c-2306	ホームヘルパー3級	pass_rate|applicants		
c-2310	福祉住環境コーディネーター検定	applicants	https://kentei.tokyo-cci.or.jp/fukushi/exam-info/	東京商工会議所
c-2311	介護職員基礎研修修了者	pass_rate|applicants		
c-2312	福祉用具専門相談員	pass_rate|applicants	https://www.mhlw.go.jp/	都道府県知事指定の講習事業者(制度所管:厚生労働省)
c-2313	介護職員初任者研修修了者	pass_rate|applicants	https://www.mhlw.go.jp/file/06-Seisakujouhou-12300000-Roukenkyoku/kaigoinnyouseikennsyuu.pdf	厚生労働省(都道府県指定の研修事業者が実施)
c-2314	介護職員実務者研修修了者	pass_rate|applicants	https://www.mhlw.go.jp/	厚生労働省(都道府県指定の研修事業者が実施)
c-2401	司法試験	applicants	https://www.moj.go.jp/jinji/shihoushiken/jinji08_00286.html	法務省 司法試験委員会
c-2407	知的財産管理技能士1級	pass_rate	https://www.kentei-info-ip-edu.org/exam/	知的財産教育協会
c-2504	証券アナリスト(CMA)	pass_rate|applicants	https://www.saa.or.jp/	公益社団法人 日本証券アナリスト協会
c-2505	ファイナンシャルプランナー(CFP/AFP)	pass_rate|applicants		
c-2512	アクチュアリー	pass_rate|applicants	https://www.actuaries.jp/	公益社団法人 日本アクチュアリー会
c-2513	経営労務コンサルタント	pass_rate|applicants		
c-2514	経営コンサルタント(日本生産性本部認定)	pass_rate|applicants		
c-2515	1級ファイナンシャル・プランニング技能士	pass_rate|applicants	https://www.kinzai.or.jp/ginou/fp/1kyu/index.html	一般社団法人 金融財政事情研究会(きんざい)/NPO法人 日本FP協会
c-2517	3級ファイナンシャル・プランニング技能士	applicants	https://www.jafp.or.jp/exam/	日本FP協会／金融財政事情研究会(きんざい)・国家検定(厚労大臣指定)
c-2601	幼稚園教諭免許(専修・1種・2種)	pass_rate|applicants	https://www.mext.go.jp/a_menu/shotou/kyoin/index.htm	文部科学省/都道府県教育委員会
c-2602	小学校教諭免許(専修・1種・2種)	pass_rate|applicants	https://www.mext.go.jp/a_menu/shotou/kyoin/index.htm	文部科学省/都道府県教育委員会
c-2603	中学校教諭免許(専修・1種・2種)	pass_rate|applicants	https://www.mext.go.jp/a_menu/shotou/kyoin/index.htm	文部科学省/都道府県教育委員会
c-2604	高等学校教諭免許(専修・1種)	pass_rate|applicants	https://www.mext.go.jp/a_menu/shotou/kyoin/index.htm	文部科学省/都道府県教育委員会
c-2608	養護教諭免許(専修・1種・2種)	pass_rate|applicants	https://www.mext.go.jp/a_menu/shotou/kyoin/index.htm	文部科学省/都道府県教育委員会
c-2609	特別支援学校教諭免許(専修・1種・2種)	pass_rate|applicants	https://www.mext.go.jp/a_menu/shotou/kyoin/index.htm	文部科学省/都道府県教育委員会
c-2610	社会教育主事	pass_rate|applicants	https://www.mext.go.jp/a_menu/01_l/08052911/1346119.htm	文部科学省
c-2701	司書	pass_rate|applicants	https://www.mext.go.jp/a_menu/shougai/gakugei/shisho/index.html	文部科学省
c-2702	司書補	pass_rate|applicants	https://www.mext.go.jp/a_menu/shougai/gakugei/shisho/index.html	文部科学省
c-2703	学芸員	pass_rate|applicants	https://www.mext.go.jp/a_menu/01_l/08052911/1346118.htm	文部科学省
c-2704	学芸員補	pass_rate|applicants	https://www.mext.go.jp/a_menu/01_l/08052911/1346118.htm	文部科学省
c-2801	看護教員	pass_rate|applicants		
c-2802	職業訓練指導員免許	pass_rate|applicants	https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/koyou_roudou/jinzaikaihatsu/shidoin-rute.html	都道府県知事が免許交付(制度所管:厚生労働省。職業能力開発促進法)
c-2803	指定自動車教習所指導員	pass_rate|applicants		
c-2804	専修学校教員認定	pass_rate|applicants	https://www.mext.go.jp/a_menu/shougai/senshuu/1380250.htm	文部科学省
c-2805	専修学校准教員認定	pass_rate|applicants	https://www.mext.go.jp/a_menu/shougai/senshuu/1380250.htm	文部科学省
c-2811	日本語教師養成講座修了(420時間)	pass_rate|applicants		
c-2813	日本語教育能力検定試験	applicants	https://www.jees.or.jp/jltct/	公益財団法人 日本国際教育支援協会(JEES)
c-2901	社会体育指導者(地域スポーツ指導者)(初級)	pass_rate|applicants		
c-2902	社会体育指導者(地域スポーツ指導者)(中級)	pass_rate|applicants		
c-2903	社会体育指導者(地域スポーツ指導者)(上級)	pass_rate|applicants		
c-2904	社会体育指導者(競争力向上指導者)(初級)	pass_rate|applicants		
c-2905	社会体育指導者(競争力向上指導者)(中級)	pass_rate|applicants		
c-2906	社会体育指導者(競争力向上指導者)(上級)	pass_rate|applicants		
c-2907	社会体育指導者(商業スポーツ指導)(初級)	pass_rate|applicants		
c-2908	社会体育指導者(商業スポーツ指導)(中級)	pass_rate|applicants		
c-2909	社会体育指導者(商業スポーツ指導)(上級)	pass_rate|applicants		
c-2910	スポーツプログラマー	pass_rate|applicants		
c-2911	フィットネストレーナー	pass_rate|applicants		
c-2912	健康運動指導士	pass_rate|applicants	https://www.health-net.or.jp/shikaku/shidoushi/annai.html	公益財団法人 健康・体力づくり事業財団
c-2913	健康運動実践指導者	pass_rate|applicants	https://www.health-net.or.jp/shikaku/shidousya/youryou.html	公益財団法人 健康・体力づくり事業財団
c-2914	レクリエーション・インストラクター/コーディネーター	pass_rate|applicants	https://shikaku.recreation.or.jp/	公益財団法人 日本レクリエーション協会
c-2915	エアロビエクササイズインストラクター	pass_rate|applicants		
c-2916	健康管理士一般指導員	pass_rate|applicants	https://www.healthcare.or.jp/test/	特定非営利活動法人 日本成人病予防協会
c-2917	健康管理士上級指導員	pass_rate|applicants	https://www.japa.org/kkkai/upper/	特定非営利活動法人 日本成人病予防協会
c-3001	1級フラワー装飾技能士	pass_rate|applicants	https://www.javada.or.jp/jigyou/gino/giken.html	中央職業能力開発協会(JAVADA)/都道府県職業能力開発協会
c-3002	2級フラワー装飾技能士	pass_rate|applicants	https://www.javada.or.jp/jigyou/gino/giken.html	中央職業能力開発協会(JAVADA)/都道府県職業能力開発協会
c-3003	カラーコーディネーター(1~2級)	applicants	https://kentei.tokyo-cci.or.jp/color/	東京商工会議所
c-3005	POP検定(等級なし又は旧1級)	pass_rate|applicants	https://www.jcinet.or.jp/examination/pop/	公益財団法人 公開経営指導協会
c-3006	POP検定(等級なし又は旧2級)	pass_rate|applicants	https://www.jcinet.or.jp/examination/pop/	公益財団法人 公開経営指導協会
c-3007	POP検定(等級なし又は旧3級)	pass_rate|applicants	https://www.jcinet.or.jp/examination/pop/	公益財団法人 公開経営指導協会
c-3009	CGクリエイター検定エキスパート	pass_rate|applicants	https://www.cgarts.or.jp/kentei/cg/	公益財団法人 画像情報教育振興協会(CG-ARTS)
c-3010	CGクリエイター検定ベーシック	pass_rate|applicants	https://www.cgarts.or.jp/kentei/cg/	公益財団法人 画像情報教育振興協会(CG-ARTS)
c-3012	1級園芸装飾技能士	pass_rate|applicants	https://www.javada.or.jp/jigyou/gino/giken.html	中央職業能力開発協会(JAVADA)/都道府県職業能力開発協会
c-3013	2級園芸装飾技能士	pass_rate|applicants	https://www.javada.or.jp/jigyou/gino/giken.html	中央職業能力開発協会(JAVADA)/都道府県職業能力開発協会
c-3014	3級園芸装飾技能士	pass_rate|applicants	https://www.javada.or.jp/jigyou/gino/giken.html	中央職業能力開発協会(JAVADA)/都道府県職業能力開発協会
c-3015	MIDI検定1級	pass_rate|applicants	https://www.midilicense.com/	一般社団法人 音楽電子事業協会(AMEI)
c-3016	MIDI検定2級	pass_rate|applicants	https://www.midilicense.com/	一般社団法人 音楽電子事業協会(AMEI)
c-3017	MIDI検定3級	pass_rate|applicants	https://www.midilicense.com/	一般社団法人 音楽電子事業協会(AMEI)
c-3104	キャリアカウンセラー/アドバイザー	pass_rate|applicants		
c-3105	キッチンスペシャリスト	applicants	https://www.interior.or.jp/examination/ks/overview/	公益社団法人 インテリア産業協会
c-3106	消費生活アドバイザー	pass_rate|applicants	https://www.nissankyo.or.jp/adviser/siken/test.html	一般財団法人 日本産業協会
c-3107	1級キャリアコンサルティング技能士	pass_rate|applicants	https://www.career-kentei.org/about/	特定非営利活動法人 キャリアコンサルティング協議会
c-3108	2級キャリアコンサルティング技能士	pass_rate|applicants	https://www.career-kentei.org/about/	特定非営利活動法人 キャリアコンサルティング協議会
c-3109	心理カウンセラー	pass_rate|applicants		
c-3111	シニア産業カウンセラー	pass_rate|applicants	https://www.counselor.or.jp/	一般社団法人 日本産業カウンセラー協会
c-3112	キャリアコンサルタント	applicants	https://www.career-shiken.org/	国家資格(登録試験機関:キャリアコンサルティング協議会/日本キャリア開発協会(JCDA))
c-3202	不動産鑑定士補	pass_rate|applicants		
c-3204	土地改良換地士	pass_rate|applicants	https://www.maff.go.jp/j/nousin/kikaku/kantisi/index.html	農林水産省(農村振興局土地改良企画課)
c-3205	土地区画整理士	applicants	https://www.jctc.jp/exam/tochikukaku/	国土交通省(指定検定機関:一般財団法人 全国建設研修センター)
c-3206	不動産コンサルティング技能登録	pass_rate|applicants		
c-3208	マンションリフォームマネジャー	pass_rate	https://www.chord.or.jp/course/reform_manager/	公益財団法人 住宅リフォーム・紛争処理支援センター
c-3307	実用英語技能検定1級	pass_rate|applicants	https://www.eiken.or.jp/eiken/exam/grade_1/	公益財団法人 日本英語検定協会
c-3308	実用英語技能検定準1級	pass_rate|applicants	https://www.eiken.or.jp/eiken/exam/grade_p1/	公益財団法人 日本英語検定協会
c-3309	実用英語技能検定2級	pass_rate|applicants	https://www.eiken.or.jp/eiken/exam/grade_2/	公益財団法人 日本英語検定協会
c-3313	工業英語能力検定1級	pass_rate|applicants	https://jstc.jma.or.jp/	一般社団法人 日本能率協会(技術英検・旧 日本工業英語協会)
c-3314	工業英語能力検定2級	pass_rate|applicants	https://jstc.jma.or.jp/	一般社団法人 日本能率協会(技術英検・旧 日本工業英語協会)
c-3315	工業英語能力検定3級	pass_rate|applicants	https://jstc.jma.or.jp/	一般社団法人 日本能率協会(技術英検・旧 日本工業英語協会)
c-3316	工業英語能力検定4級	pass_rate|applicants	https://jstc.jma.or.jp/	一般社団法人 日本能率協会(技術英検・旧 日本工業英語協会)
c-3322	TOEIC(730点~)	applicants	https://www.iibc-global.org/toeic/test/lr.html	一般財団法人 国際ビジネスコミュニケーション協会(IIBC)
c-3323	TOEIC(600点~)	applicants	https://www.iibc-global.org/toeic/test/lr.html	一般財団法人 国際ビジネスコミュニケーション協会(IIBC)
c-3324	TOEIC(470点~)	applicants	https://www.iibc-global.org/toeic/test/lr.html	一般財団法人 国際ビジネスコミュニケーション協会(IIBC)
c-3325	実用フランス語技能検定1級	pass_rate|applicants	https://apefdapf.org/dapf/info/examens	公益財団法人 フランス語教育振興協会(APEF)
c-3326	実用フランス語技能検定2級	applicants	https://apefdapf.org/dapf/info/examens	公益財団法人 フランス語教育振興協会(APEF)
c-3329	中国語検定1級	applicants	https://www.chuken.gr.jp/	一般財団法人 日本中国語検定協会
c-3330	中国語検定2級	pass_rate|applicants	https://www.chuken.gr.jp/	一般財団法人 日本中国語検定協会
c-3331	ハングル能力検定1級	pass_rate|applicants	https://www.hangul.or.jp/	特定非営利活動法人 ハングル能力検定協会
c-3332	ハングル能力検定2級	pass_rate|applicants	https://www.hangul.or.jp/	特定非営利活動法人 ハングル能力検定協会
c-3333	ビジネス中国語検定(A・B)	pass_rate|applicants	https://www.bct-jp.com/	日本BCT・YCT事務局(中国教育部系)
