slug,authority,official_url,fee,exam_format,eligibility,frequency,pass_rate,source_checked_at
c-2302,公益財団法人 社会福祉振興・試験センター,https://www.sssc.or.jp/kaigo/,,筆記のみ(マークシート・13科目125点。実技は第37回より廃止),受験資格あり(実務経験3年＋実務者研修/養成施設卒業 等),年1回(1月),78.3%(第37回),2026-06-18
c-3402,公益財団法人 実務技能検定協会,https://jitsumu-kentei.jp/HS/index,,理論・実技の2領域(各60%以上で合格)。2級は筆記のみ(面接なし),受験資格なし(誰でも受験可),,,2026-06-18
c-3004,公益社団法人 色彩検定協会(AFT・文部科学省後援),https://www.aft.or.jp/exam-orders,,1〜3級・UC級(マークシート中心。1級は1次・2次),制限なし(何級からでも受検可),年2回(夏期・冬期),2級72.17%(令和5年度),2026-06-18
c-2511,一般社団法人 中小企業診断協会,https://www.j-smeca.jp/contents/007_shiken.html,,1次=7科目・多肢選択式/2次=筆記(事例)＋口述,1次は受験資格なし,年1回,,2026-06-18
c-3209,公益財団法人 マンション管理センター,https://www.mankan.org/,,50問・四肢択一(マークシート),制限なし(誰でも受験可),年1回(11月),12.7%(令和6年度),2026-06-18
c-3210,一般社団法人 マンション管理業協会,https://www.kanrikyo.or.jp/kanri/siken.html,"8,900円",50問・四肢択一(マークシート),受験資格なし(誰でも受験可),年1回(12月),21.9%(令和5年度),2026-06-18
c-2405,税関(財務省),https://www.customs.go.jp/tsukanshi/,"3,000円(収入印紙)",選択式(マークシート)・3科目,受験資格なし(誰でも受験可),年1回(10月),12.4%(第58回・令和6年),2026-06-18
c-1505,独立行政法人 情報処理推進機構(IPA),https://www.ipa.go.jp/shiken/kubun/fe.html,"7,500円(税込)",CBT方式(科目A 60問90分・科目B 20問100分),受験資格なし(誰でも受験可),通年・随時(CBT),,2026-06-18
c-1504,独立行政法人 情報処理推進機構(IPA),https://www.ipa.go.jp/shiken/kubun/ap.html,"7,500円(税込)",午前=多肢選択80問/午後=記述式(2026年度よりCBT移行予定),受験資格なし(誰でも受験可),年2回(2026年度よりCBT移行予定),,2026-06-18
c-1538,独立行政法人 情報処理推進機構(IPA),https://www3.jitec.ipa.go.jp/JitesCbt/,"7,500円(税込)",CBT方式・四肢択一100問120分,受験資格なし(誰でも受験可),通年・随時(CBT),48.6%(令和7年度),2026-06-18
c-1565,独立行政法人 情報処理推進機構(IPA),https://www.ipa.go.jp/shiken/kubun/sc.html,"7,500円",午前I・II=多肢選択＋午後=記述式(2026年度よりCBT移行予定),受験資格なし(登録には別途要件あり),年2回(2026年度よりCBT移行予定),,2026-06-18
c-2516,日本FP協会／金融財政事情研究会(きんざい)・国家検定(厚労大臣指定),https://www.jafp.or.jp/exam/,"学科5,700円/実技6,000円",CBT方式。学科=四答択一60問120分／実技=事例形式(きんざい5題90分・FP協会40問90分),受験資格あり(3級合格/FP実務2年以上/AFP認定研修修了 等),CBT随時,,2026-06-18
c-2517,日本FP協会／金融財政事情研究会(きんざい)・国家検定(厚労大臣指定),https://www.jafp.or.jp/exam/,"学科・実技 各4,000円",CBT方式。学科=四答択一60問90分／実技(FP協会20問60分),FP業務に従事/従事しようとする者(実質誰でも),CBT随時,,2026-06-18
c-1622,一般財団法人 気象業務支援センター(所管:気象庁),https://www.jmbsc.or.jp/jp/examination/examination-2.html,"11,400円(全科目)/10,400円(学科1科目免除)/9,400円(学科2科目免除)",学科(マークシート・一般/専門の2科目)＋実技(記述式),受験資格なし(誰でも受験可),年2回,,2026-06-18
c-4115,各都道府県(所管:厚生労働省),https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000082537.html,,筆記(厚労省「試験問題作成の手引き」に基づく5項目),受験資格なし(学歴・実務要件は撤廃済),各都道府県が年1回以上(ブロック単位で実施),,2026-06-18
c-5206,一般財団法人 消防試験研究センター,https://www.shoubo-shiken.or.jp/kikenbutsu/,"6,600円(2024年5月改定)",五肢択一・マークシート(3科目45問・2時間30分),受験資格あり(大学等で化学卒/化学15単位/乙種免状＋実務2年/乙種4類取得 等),都道府県支部により異なる,,2026-06-18
c-1203,一般財団法人 電気技術者試験センター,https://www.shiken.or.jp/,"13,800円(ネット申込)/14,200円(書面)",一次=4科目(理論・電力・機械・法規)マークシート・科目合格制＋二次=2科目記述式,受験資格なし(誰でも受験可),年1回(一次8月・二次11月),二次15.6%(令和6年度),2026-06-18
c-1204,一般財団法人 電気技術者試験センター,https://www.shiken.or.jp/,"13,800円(ネット申込)/14,200円(書面)",一次=4科目(理論・電力・機械・法規)マークシート・科目合格制＋二次=2科目記述式,受験資格なし(誰でも受験可),年1回(一次8月・二次11月),二次18.9%(令和6年度),2026-06-18
c-2403,特許庁(試験実施=工業所有権審議会),https://www.jpo.go.jp/news/benrishi/index.html,"12,000円(特許印紙)",短答式→論文式(必須・選択)→口述 の3段階,制限なし(誰でも受験可),年1回(短答5月・論文6〜7月・口述10月),6.4%(令和7年度),2026-06-18
c-2402,法務省,https://www.moj.go.jp/shikaku_saiyo_index3.html,"8,000円(収入印紙)",筆記(午前=択一/午後=択一＋記述)＋口述,制限なし(誰でも受験可),年1回(筆記7月・口述10月),約5.2%(令和7年度),2026-06-18
c-2501,公認会計士・監査審査会(金融庁),https://www.fsa.go.jp/cpaaob/kouninkaikeishi-shiken/,"19,500円",短答式(マークシート)＋論文式(記述),制限なし(誰でも受験可),短答 年2回(12月・5月)/論文 年1回(8月),7.4%(令和6年度),2026-06-18
c-2503,国税庁(国税審議会),https://www.nta.go.jp/taxes/zeirishi/zeirishishiken/zeirishi.htm,"1科目4,000円/2科目5,500円(以後1科目ごと+1,500円・収入印紙)",科目合格制(5科目=会計2＋税法3)・合格科目は生涯有効,会計科目=受験資格なし/税法科目=学識・資格・職歴等の要件,年1回(8月),,2026-06-18
c-4202,一般社団法人 日本旅行業協会(JATA)・観光庁所管,https://www.jata-net.or.jp/seminar/,"13,000円(2025年改定)",五肢択一・筆記(マークシート)・4科目,誰でも受験可(科目免除制度あり),年1回(10月),,2026-06-18
c-4203,一般社団法人 全国旅行業協会(ANTA)・観光庁所管,https://www.anta.or.jp/exam/shiken/annai.html,"8,000円＋システム利用料660円",CBT方式・120分・3科目(各科目60%以上で合格),誰でも受験可(科目免除制度あり),年1回(9月),,2026-06-18
c-2203,公益財団法人 安全衛生技術試験協会,https://www.exam.or.jp/,"8,800円",五肢択一・マークシート・30問3時間(有害業務に係るものを除く),受験資格あり(学歴に応じた労働衛生の実務経験等),各センターで毎月複数回,,2026-06-18
c-2308,各都道府県(所管:厚生労働省/問題作成:社会福祉振興・試験センター),https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/hukushi_kaigo/kaigo_koureisha/hoken/jissi.html,,マークシート(五肢複択)・2分野,法定資格(医師・看護師・介護福祉士等)または相談援助業務の実務5年以上かつ900日以上,年1回(10月),32.1%(第27回・令和6年度),2026-06-18
c-4401,各都道府県(所管:厚生労働省/多くが調理技術技能センターに委託),https://chouri-ggc.or.jp/chourishishiken/,,筆記(マークシート)・6科目,受験資格あり(中学校卒業以上＋調理業務の実務2年以上),都道府県ごとに年1回程度,,2026-06-18
c-3309,公益財団法人 日本英語検定協会,https://www.eiken.or.jp/eiken/exam/grade_2/,,一次=筆記(リーディング・ライティング)＋リスニング/二次=面接,制限なし(誰でも受験可),年3回＋S-CBT,,2026-06-18
c-1704,厚生労働省,https://www.mhlw.go.jp/kouseiroudoushou/shikaku_shiken/yakuzaishi/,"6,800円(収入印紙)",筆記(マークシート)・計345問,受験資格あり(6年制薬学課程を卒業/卒業見込み 等),年1回(2月),68.49%(第111回・2026年),2026-06-18
c-1904,厚生労働省,https://www.mhlw.go.jp/kouseiroudoushou/shikaku_shiken/rigakuryouhoushi/,"10,100円",筆記(マークシート)・一般問題＋実地問題,受験資格あり(指定養成校で3年以上修学/卒業見込み 等),年1回(2月),89.7%(第61回・2026年速報),2026-06-18
c-1905,厚生労働省,https://www.mhlw.go.jp/kouseiroudoushou/shikaku_shiken/sagyouryouhoushi/,"10,100円",筆記(マークシート)・一般問題＋実地問題,受験資格あり(指定養成校で3年以上修学/卒業見込み 等),年1回(2月),91.2%(第61回・2026年速報),2026-06-18
c-1907,一般財団法人 歯科医療振興財団(指定試験機関)・施行は厚生労働省,https://www.mhlw.go.jp/kouseiroudoushou/shikaku_shiken/shikaeiseishi/,"14,300円",筆記(マークシート)・220問(合格基準6割),受験資格あり(指定養成校3年以上を卒業/卒業見込み 等),年1回(3月),94.5%(第35回・2026年速報),2026-06-18
c-2301,公益財団法人 社会福祉振興・試験センター,https://www.sssc.or.jp/shakai/,"19,370円(単独受験)",筆記(五肢択一中心・マークシート)・129問225分,受験資格あり(福祉系大学の指定科目履修/養成施設修了 等の複数ルート),年1回(2月),60.7%(第38回・2026年速報),2026-06-18
c-2307,公益財団法人 社会福祉振興・試験センター,https://www.sssc.or.jp/seishin/,"24,140円(単独受験)",筆記(五肢択一中心・マークシート)・専門科目＋共通科目,受験資格あり(保健福祉系大学の指定科目履修/養成施設修了 等の複数ルート),年1回(1月末〜2月),78.2%(第28回・2026年速報),2026-06-18
c-1404,一般財団法人 全国建設研修センター,https://www.jctc.jp/exam/guide/dbk-1/,,第一次検定=マークシート/第二次検定=記述式(第一次合格で技士補),第一次は受検年度末に19歳以上・学歴不問/第二次は第一次合格後の所定実務経験(令和10年度まで経過措置),年1回(第一次7月頃・第二次10〜11月頃),,2026-06-18
c-1405,一般財団法人 全国建設研修センター,https://www.jctc.jp/exam/guide/dbk-2/,,第一次検定=マークシート/第二次検定=記述式(第一次合格で技士補),第一次は受検年度末に17歳以上・学歴不問/第二次は第一次合格後の所定実務経験(経過措置あり),第一次は年2回(前期・後期)/第二次は年1回,,2026-06-18
c-1315,一般財団法人 建設業振興基金,https://www.fcip-shiken.jp/ken1/,,第一次検定=マークシート/第二次検定=記述式(第一次合格で技士補),第一次は受検年度末に19歳以上・学歴不問/第二次は第一次合格後の所定実務経験(令和10年度まで経過措置),年1回(第一次7月頃・第二次10〜11月頃),,2026-06-18
c-1316,一般財団法人 建設業振興基金,https://www.fcip-shiken.jp/ken2/,,第一次検定=マークシート/第二次検定=記述式(第一次合格で技士補),第一次は受検年度末に17歳以上・学歴不問/第二次は第一次合格後の所定実務経験(経過措置あり),第一次は年2回(前期・後期)/第二次は年1回,,2026-06-18
c-7110,一般財団法人 全国建設研修センター,https://www.jctc.jp/exam/kankouji-1/,,第一次検定=マークシート/第二次検定=記述式(第一次合格で技士補),第一次は受検年度末に19歳以上・学歴不問/第二次は第一次合格後の所定実務経験(令和10年度まで経過措置),年1回(第一次7月頃・第二次10〜11月頃),,2026-06-18
c-7111,一般財団法人 全国建設研修センター,https://www.jctc.jp/exam/guide/kkj-2/,,第一次検定=マークシート/第二次検定=記述式(第一次合格で技士補),第一次は受検年度末に17歳以上・学歴不問/第二次は第一次合格後の所定実務経験(経過措置あり),第一次は年2回(前期・後期)/第二次は年1回,,2026-06-18
c-1206,一般財団法人 建設業振興基金,https://www.fcip-shiken.jp/den1/,,第一次検定=マークシート/第二次検定=記述式(第一次合格で技士補),第一次は受検年度末に19歳以上・学歴不問/第二次は第一次合格後の所定実務経験(令和10年度まで経過措置),年1回(第一次7月頃・第二次10〜11月頃),,2026-06-18
c-1207,一般財団法人 建設業振興基金,https://www.fcip-shiken.jp/den2/,,第一次検定=マークシート/第二次検定=記述式(第一次合格で技士補),第一次は受検年度末に17歳以上・学歴不問/第二次は第一次合格後の所定実務経験(経過措置あり),第一次は年2回(前期・後期)/第二次は年1回,,2026-06-18
c-1502,独立行政法人 情報処理推進機構(IPA),https://www.ipa.go.jp/shiken/kubun/nw.html,"7,500円(税込)",午前I・午前II(多肢選択)・午後I・午後II(記述式),受験資格なし(誰でも受験可),年1回(令和7年度は春期/4月。令和8年度よりCBT方式へ移行),17.8%(令和7年度春期),2026-06-18
c-1510,独立行政法人 情報処理推進機構(IPA),https://www.ipa.go.jp/shiken/kubun/db.html,"7,500円(税込)",午前I・午前II(多肢選択)・午後I・午後II(記述式),受験資格なし(誰でも受験可),年1回(令和7年度は秋期/10月。令和8年度よりCBT方式へ移行),18.4%(令和7年度秋期),2026-06-18
c-1301,公益財団法人 建築技術教育普及センター,https://www.jaeic.or.jp/shiken/1k/,"17,000円(非課税)",学科の試験＋設計製図の試験(学科合格者が設計製図を受験),建築士法に基づく所定の学歴・資格が必要(実務経験は免許登録時に確認),年1回(学科7月頃/設計製図10月頃),8.8%(令和6年度・総合),2026-06-18
c-1302,公益財団法人 建築技術教育普及センター,https://www.jaeic.or.jp/shiken/2k/,"18,500円(非課税)",学科の試験＋設計製図の試験(学科合格者が設計製図を受験),所定の学歴、または建築実務経験7年以上等で受験可,年1回(学科7月頃/設計製図9月頃),,2026-06-18
c-1409,国土交通省 国土地理院,https://www.gsi.go.jp/LAW/R6shiken_00001.html,"2,850円(書面)/2,800円(電子申請)",筆記(択一式・28問・700点満点、450点以上で合格),受験資格なし(誰でも受験可),年1回(5月第3日曜),51.2%(令和7年度),2026-06-18
c-2408,知的財産教育協会,https://www.kentei-info-ip-edu.org/exam/,"学科8,200円＋実技8,200円(各非課税)",学科(マークシート)＋実技(記述・マークシート)。両方合格で技能士,受検資格あり(実務経験2年以上、3級合格者 等のいずれか),年3回(3月・7月・11月),,2026-06-18
c-2409,知的財産教育協会,https://www.kentei-info-ip-edu.org/exam/,"学科6,100円＋実技6,100円(各非課税)",学科(マークシート)＋実技(記述・マークシート)。両方合格で技能士,受検資格なし(知的財産業務に従事・従事しようとする者),年3回(3月・7月・11月),,2026-06-18
c-3623,日本商工会議所・各地商工会議所,https://www.kentei.ne.jp/bookkeeping/class1,"7,850円(税込)＋事務手数料550円(税込)",統一試験(ペーパー)。商業簿記・会計学・工業簿記・原価計算、計180分。70%以上かつ各科目40%以上で合格,受験資格なし(誰でも受験可),年2回(6月・11月),,2026-06-18
c-3512,公益財団法人 日本漢字能力検定協会,https://www.kanken.or.jp/kanken/individual/,"5,200円(税込・2026年度公開会場)",紙(公開会場)/CBT/オンライン。200点満点,受検資格なし(誰でも受検可),年3回(おおむね6月・10月・2月),29.0%(2024年度),2026-06-18
c-6702,公益財団法人 安全衛生技術試験協会,https://www.exam.or.jp/introduction/h_shokai112/,"8,800円",学科・五肢択一式・3科目・4時間。各科目40%以上かつ合計60%以上で合格,二級ボイラー技士免許取得者等(受験資格あり),全国の安全衛生技術センターで随時,43.8%(令和6年度),2026-06-18
c-1508,独立行政法人 情報処理推進機構(IPA),https://www.ipa.go.jp/shiken/kubun/pm.html,"7,500円(税込)",午前I・午前II(多肢選択)・午後I(記述)・午後II(論述),受験資格なし(誰でも受験可),年1回(秋期/10月。令和8年度よりCBT方式へ移行),14.3%(令和7年度秋期),2026-06-18
c-1539,独立行政法人 情報処理推進機構(IPA),https://www.ipa.go.jp/shiken/kubun/st.html,"7,500円(税込)",午前I・午前II(多肢選択)・午後I(記述)・午後II(論述),受験資格なし(誰でも受験可),年1回(春期/4月。令和8年度よりCBT方式へ移行),15.0%(令和7年度春期),2026-06-18
c-1503,独立行政法人 情報処理推進機構(IPA),https://www.ipa.go.jp/shiken/kubun/sa.html,"7,500円(税込)",午前I・午前II(多肢選択)・午後I(記述)・午後II(論述),受験資格なし(誰でも受験可),年1回(春期/4月。令和8年度よりCBT方式へ移行),15.5%(令和7年度春期),2026-06-18
c-3203,法務省,https://www.moj.go.jp/shikaku_saiyo_index5.html,"8,300円(収入印紙)",筆記(午前・午後、多肢択一式＋記述式)＋口述試験,受験資格なし(誰でも受験可),年1回(筆記10月・口述翌年1月),,2026-06-18
c-3201,国土交通省 土地鑑定委員会,https://www.mlit.go.jp/totikensangyo/kanteishi/shiken.html,"13,000円(書面)/12,800円(電子申請)",短答式(択一・2科目)＋論文式(民法・経済学・会計学・鑑定評価理論),受験資格なし(誰でも受験可),年1回(短答式5月・論文式8月),17.6%(令和7年・論文式),2026-06-18
c-1901,厚生労働省,https://www.mhlw.go.jp/kouseiroudoushou/shikaku_shiken/rinshoukensagishi/,"11,300円",筆記(マークシート)・午前午後計200問,指定の養成校・大学等で所定課程を修了した者 等,年1回(2月),84.6%(第71回・令和7年),2026-06-18
c-1908,厚生労働省,https://www.mhlw.go.jp/kouseiroudoushou/shikaku_shiken/shinryouhoushasengishi/,"11,400円",筆記(マークシート)・午前午後計200問,指定養成校(大学等)で3年以上修得した者 等,年1回(2月),84.7%(第77回・令和7年),2026-06-18
c-2206,厚生労働省,https://www.mhlw.go.jp/kouseiroudoushou/shikaku_shiken/kyukyukyumeishi/,"30,300円",筆記(マークシート)・必修問題＋通常問題,指定養成所で2年以上修得した者、消防職員で所定講習・業務経験を経た者 等,年1回(3月),94.4%(第48回・令和7年),2026-06-18
c-4303,公益財団法人 理容師美容師試験研修センター,https://www.rbc.or.jp/exam/,"34,700円(筆記＋実技)。一部免除時は実技18,800円/筆記15,900円",実技試験＋筆記試験,都道府県知事指定の美容師養成施設を卒業した者 等,年2回(春期・秋期),87.0%(第53回・2025年春期),2026-06-18
c-4301,公益財団法人 理容師美容師試験研修センター,https://www.rbc.or.jp/exam/,"34,700円(筆記＋実技)。一部免除時は実技18,800円/筆記15,900円",実技試験＋筆記試験,都道府県知事指定の理容師養成施設を卒業した者 等,年2回(春期・秋期),,2026-06-18
c-4501,一般財団法人 消防試験研究センター,https://www.shoubo-shiken.or.jp/shoubou/,"6,600円(非課税)",筆記(四肢択一マークシート)＋実技(記述・製図),受験資格あり(国家資格・学歴・実務経験5年以上等のいずれか),各都道府県・中央試験センターで随時,,2026-06-18
c-1603,一般財団法人 省エネルギーセンター(ECCJ),https://www.eccj.or.jp/mgr1/test_guide/index.html,"17,000円(非課税。課目免除者は10,000円)",課目I〜IVで熱分野/電気分野を選択(各課目60%で合格),受験資格なし(免状交付には合格後に省エネ実務1年以上),年1回(8月),36.8%(令和6年度),2026-06-18
c-3301,観光庁(試験事務代行:JNTO),https://www.jnto.go.jp/projects/visitor-support/interpreter-guide-exams/,"一カ国語14,850円/二カ国語29,700円",1次筆記(外国語・日本地理・日本歴史・一般常識・通訳案内の実務)＋2次口述,受験資格なし(誰でも受験可),年1回(1次8月・2次12月),15.7%(2025年度・最終),2026-06-18
c-4101,日本商工会議所・各地商工会議所,https://www.kentei.ne.jp/retailsales/class1,"7,850円(税込)＋事務手数料550円",ネット試験(CBT)。5科目・90分。各科目70点以上で合格(科目合格制),受験資格なし(誰でも受験可),随時(ネット試験),,2026-06-18
c-4102,日本商工会議所・各地商工会議所,https://www.kentei.ne.jp/retailsales/class2,"5,770円(税込)＋事務手数料550円",ネット試験(CBT)。5科目・70分。5科目平均70点以上かつ各科目50点以上,受験資格なし(誰でも受験可),随時(ネット試験),,2026-06-18
c-4103,日本商工会議所・各地商工会議所,https://www.kentei.ne.jp/retailsales/class3,"4,200円(税込)＋事務手数料550円",ネット試験(CBT)。5科目・60分。5科目平均70点以上かつ各科目50点以上,受験資格なし(誰でも受験可),随時(ネット試験),,2026-06-18
c-3401,公益財団法人 実務技能検定協会,https://jitsumu-ginou-kentei.jp/HS/guide,"7,800円(税込)",筆記(全問記述)＋面接。理論・実技各60%以上で合格,受験資格なし(誰でも受験可),年3回(2月・6月・11月),,2026-06-18
c-3403,公益財団法人 実務技能検定協会,https://jitsumu-ginou-kentei.jp/HS/guide,"3,800円(税込)",筆記のみ(選択＋記述)、面接なし。理論・実技各60%以上で合格,受験資格なし(誰でも受験可),年3回(2月・6月・11月),,2026-06-18
c-3511,公益財団法人 日本漢字能力検定協会,https://www.kanken.or.jp/kanken/grades/overview/,"6,700円(税込・2026年度/公開会場)","200点満点・80%程度で合格・60分。大学・一般程度(約6,000字)",受検資格なし(誰でも受検可),年3回,,2026-06-18
c-5818,国土交通省(技能検定)/登録試験は日本自動車整備振興会連合会(JASPA)が実施,https://www.jaspa.or.jp/mechanic/,"学科7,200円/実技14,000円",学科試験(筆記)＋実技試験。登録試験合格で検定試験が2年間免除。区分(ガソリン/ジーゼル等)あり,三級整備士合格後の実務経験、または二級整備士養成課程修了で受験可,年2回(学科10月・3月頃/実技1月頃),,2026-06-18
c-5819,国土交通省(技能検定)/登録試験は日本自動車整備振興会連合会(JASPA)が実施,https://www.jaspa.or.jp/mechanic/,"学科7,200円/実技14,000円",学科試験(筆記)＋実技試験。登録試験合格で検定試験が2年間免除。区分あり,自動車整備の実務経験1年以上(養成施設修了者は6か月以上)、または三級養成課程修了で受験可,年2回(学科10月・3月頃/実技1月頃),,2026-06-18
c-1227,高圧ガス保安協会(KHK),https://www.khk.or.jp/qualification/national_qualification/examination/examination_about.html,"28,100円",筆記。法令・保安管理技術・学識の3科目。検定(講習)合格者は保安管理技術・学識が免除,受験資格なし(誰でも受験可),年1回(11月),52.0%(令和6年度),2026-06-18
c-1208,一般財団法人 日本データ通信協会 電気通信国家試験センター,https://www.dekyo.or.jp/shiken/chief/,"29,000円(3科目)",電気通信システム・伝送交換設備及び設備管理・法規の3科目。科目免除制度あり,受験資格なし(誰でも受験可),年2回(7月・1月),34.6%(令和6年度第2回),2026-06-18
c-6807,一般財団法人 日本データ通信協会 電気通信国家試験センター,https://www.dekyo.or.jp/shiken/charge/,"14,600円",基礎・技術及び理論・法規の3科目(各100点・60点以上)。科目免除制度あり。現行名称は「総合通信」,受験資格なし(誰でも受験可),定期試験 年2回(5月・11月),20.7%(令和5年度・総合通信),2026-06-18
c-2407,知的財産教育協会,https://www.kentei-info-ip-edu.org/exam/,"学科8,900円＋実技23,000円(各非課税)",学科＋実技。特許/コンテンツ/ブランドの3区分。学科80%以上、実技は筆記＋口頭試問で60%以上で合格,受検資格あり(2級合格＋実務、または知財実務4年以上 等),学科年1回(7月)・実技年1回(11月),,2026-06-18
c-6004,各都道府県(知事),https://www.hokeniryo.metro.tokyo.lg.jp/anzen/shikaku/csh_menkyo/chori_seika/seika/shiken,"都道府県により異なる(例:関西広域連合9,400円)",筆記(マークシート・計60問)。衛生法規・公衆衛生学・食品学・食品衛生学・栄養学・製菓理論及び実技,製菓衛生師養成施設で1年以上修了、または菓子製造業で2年以上の実務経験,都道府県により年1回程度,,2026-06-18
c-1702,厚生労働省,https://www.mhlw.go.jp/kouseiroudoushou/shikaku_shiken/shikaishi/,"18,900円(収入印紙)",筆記・マークシート(択一式)。歯科医学全般(必修・一般・臨床実地),大学(歯学部)で正規の歯学課程を修了した者 等,年1回(1〜2月),70.3%(第118回・2024年),2026-06-18
c-1801,厚生労働省,https://www.mhlw.go.jp/kouseiroudoushou/shikaku_shiken/hokenshi/,"5,400円(収入印紙)",筆記・マークシート。公衆衛生看護学・疫学・保健統計学・保健医療福祉行政論、計145点満点,看護師免許取得＋指定校・養成所で保健師課程1年以上修了,年1回(2月),94.0%(第111回・2025年),2026-06-18
c-1802,厚生労働省,https://www.mhlw.go.jp/kouseiroudoushou/shikaku_shiken/josanpu/,"5,400円(収入印紙)",筆記・マークシート。基礎助産学・助産診断技術学・地域母子保健・助産管理,看護師免許取得＋指定校・養成所で助産課程1年以上修了,年1回(2月),98.9%(第108回・2025年),2026-06-18
c-1909,厚生労働省,https://www.mhlw.go.jp/kouseiroudoushou/shikaku_shiken/shinoukunrenshi/,"15,800円",筆記・マークシート(選択式)・全150問。基礎医学大要・基礎視能矯正学・視能検査学・視能障害学・視能訓練学,指定の視能訓練士養成校で3年以上修得した者 等,年1回(2月),96.1%(第56回・2026年),2026-06-18
