occ_id,name,major_category,cert_count,source
o-0036,Webコーダー,IT・情報処理,7,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0039,Web制作スタッフ,IT・情報処理,7,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0141,ビルメンテナンス,機械・電気・ものづくり,7,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0154,フロントエンドエンジニア,IT・情報処理,7,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0162,プログラマ,IT・情報処理,7,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0418,建築現場スタッフ,建築・設備,7,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0424,建設コンサルタント,土木・測量・建設,7,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0447,技術コンサルタント,機械・電気・ものづくり,7,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0465,施工管理・作業主任者,建築・設備,7,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0108,ディスプレイデザイナー,デザイン・美術・文化,6,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0120,トンネル工事作業員,土木・測量・建設,6,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0373,安全衛生管理者,建築・設備,6,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0425,建設・採石作業員,土木・測量・建設,6,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0427,建設・設備作業員,建築・設備,6,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0540,港湾荷役作業員,建築・設備,6,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0605,秘書,商業・販売・事務,6,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0004,CADオペレーター,建築・設備,5,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0058,インフラエンジニア,IT・情報処理,5,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0132,バス・タクシー運転手,運輸・運転・航空,5,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0145,ビル設備管理,安全・環境・危険物,5,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0329,営業職,商業・販売・事務,5,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0364,外資系企業スタッフ,語学・コミュニケーション,5,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0436,建設機械オペレーター,設備・プラント・機械運転,5,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0470,旅客運送ドライバー,運輸・運転・航空,5,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0678,英文事務,語学・コミュニケーション,5,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0721,設備管理,機械・電気・ものづくり,5,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0762,送迎ドライバー,運輸・運転・航空,5,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0047,めっき工,機械・電気・ものづくり,4,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0062,エンジン組立て,機械・電気・ものづくり,4,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0073,クレーンオペレーター,設備・プラント・機械運転,4,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0096,ソムリエ,美容・サービス・スポーツ,4,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0158,プラスチック成形工,機械・電気・ものづくり,4,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0159,プリント配線板製造,機械・電気・ものづくり,4,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0288,制御技術者,IT・情報処理,4,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0296,化学工場の作業員・作業主任者,機械・電気・ものづくり,4,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0316,受付・会計,商業・販売・事務,4,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0354,塗装・表面処理作業者,機械・電気・ものづくり,4,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0395,工事担任者,電気・通信,4,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0398,工場の作業主任者,機械・電気・ものづくり,4,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0401,工場・建設現場の荷役スタッフ,設備・プラント・機械運転,4,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0449,技術文書作成スタッフ,語学・コミュニケーション,4,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0450,技術翻訳者,語学・コミュニケーション,4,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0503,機械加工オペレーター,機械・電気・ものづくり,4,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0505,機械検査,機械・電気・ものづくり,4,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0528,海外対応エンジニア,語学・コミュニケーション,4,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0529,海外技術営業,語学・コミュニケーション,4,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0558,玉掛け作業員,設備・プラント・機械運転,4,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0633,組込み開発エンジニア,IT・情報処理,4,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0645,総務,商業・販売・事務,4,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0705,製造現場の安全衛生管理者,機械・電気・ものづくり,4,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0707,製造設備オペレーター,機械・電気・ものづくり,4,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0718,設備保全スタッフ,機械・電気・ものづくり,4,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0790,配管工,建築・設備,4,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0797,重機オペレーター,設備・プラント・機械運転,4,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0805,金属熱処理工,機械・電気・ものづくり,4,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0837,電子回路設計補助,IT・情報処理,4,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0838,電子機器組立て,機械・電気・ものづくり,4,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0841,電気・電子系技術者,IT・情報処理,4,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0002,3DCGクリエイター,デザイン・美術・文化,3,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0006,CGデザイナー,デザイン・美術・文化,3,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0008,C言語開発者,IT・情報処理,3,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0014,ICT支援員,IT・情報処理,3,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0015,ITエンジニア,IT・情報処理,3,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0028,Java開発エンジニア,IT・情報処理,3,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0032,POP制作スタッフ,デザイン・美術・文化,3,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0049,アプリケーション開発者,IT・情報処理,3,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0067,ガソリンスタンド,機械・電気・ものづくり,3,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0070,キャリアコンサルタント,福祉・介護・心理,3,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0077,ゲームグラフィッカー,デザイン・美術・文化,3,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0083,サウンドクリエイター,デザイン・美術・文化,3,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0100,ダイカスト工,機械・電気・ものづくり,3,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0107,テクニカルイラストレーター,機械・電気・ものづくり,3,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0117,トラックドライバー,運輸・運転・航空,3,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0122,ネイリスト,美容・サービス・スポーツ,3,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0123,ネイルサロンスタッフ,美容・サービス・スポーツ,3,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0136,パソコンインストラクター,IT・情報処理,3,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0138,パン製造,食品・調理・栄養,3,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0139,ビジネスパーソン全般,語学・コミュニケーション,3,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0146,ピアノ調律師,美容・サービス・スポーツ,3,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0160,プレス加工オペレーター,機械・電気・ものづくり,3,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0168,ボイラー技士,設備・プラント・機械運転,3,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0184,レストランサービス,美容・サービス・スポーツ,3,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0187,レセプト業務,商業・販売・事務,3,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0204,不動産管理,不動産,3,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0216,事務職全般,商業・販売・事務,3,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0257,作編曲アシスタント,デザイン・美術・文化,3,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0267,光学機器製造,機械・電気・ものづくり,3,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0276,内装仕上げ工,建築・設備,3,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0278,写真技能者,機械・電気・ものづくり,3,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0303,医療秘書,語学・コミュニケーション,3,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0305,半導体製造オペレーター,機械・電気・ものづくり,3,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0315,受付,商業・販売・事務,3,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0320,和裁士,機械・電気・ものづくり,3,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0323,商品装飾,商業・販売・事務,3,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0334,園芸装飾,デザイン・美術・文化,3,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0369,婦人子供服製造,機械・電気・ものづくり,3,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0389,小売店スタッフ,商業・販売・事務,3,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0408,広告美術,機械・電気・ものづくり,3,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0411,庭師,農林水産・動物,3,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0423,建築設計補助,建築・設備,3,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0437,建設機械整備士,機械・電気・ものづくり,3,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0445,情報配線施工,電気・通信,3,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0459,放電加工オペレーター,機械・電気・ものづくり,3,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0477,映像制作スタッフ,デザイン・美術・文化,3,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0478,時計修理技術者,機械・電気・ものづくり,3,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0482,板金工,機械・電気・ものづくり,3,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0501,機械仕上げ・組立て,機械・電気・ものづくり,3,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0502,機械保全,機械・電気・ものづくり,3,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0518,油圧装置の組立・調整,機械・電気・ものづくり,3,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0546,火薬類製造保安責任者,機械・電気・ものづくり,3,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0548,無線通信士,電気・通信,3,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0599,社内SE,IT・情報処理,3,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0612,空気圧装置の組立て,機械・電気・ものづくり,3,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0630,紳士服製造,機械・電気・ものづくり,3,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0632,組込みソフトウェア開発者,IT・情報処理,3,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0656,美容関連スタッフ,美容・サービス・スポーツ,3,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0658,義肢装具士,医療・看護・薬,3,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0666,自動販売機の調整・保守,機械・電気・ものづくり,3,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0669,舞台音響・舞台機構の調整,美容・サービス・スポーツ,3,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0671,航空会社・整備会社の整備スタッフ,機械・電気・ものづくり,3,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0672,航空整備士,機械・電気・ものづくり,3,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0674,航空機メンテナンス,機械・電気・ものづくり,3,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0697,製図技術者,建築・設備,3,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0723,設計事務所,建築・設備,3,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0724,設計事務所スタッフ,建築・設備,3,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0741,販売促進担当,デザイン・美術・文化,3,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0742,販売職,商業・販売・事務,3,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0777,造園工,農林水産・動物,3,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0789,運送業スタッフ,運輸・運転・航空,3,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0791,配送ドライバー,運輸・運転・航空,3,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0799,金型工,機械・電気・ものづくり,3,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0823,鋳物工,機械・電気・ものづくり,3,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0832,陸上特殊無線技士,電気・通信,3,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0842,電気主任技術者,機械・電気・ものづくり,3,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0848,電気機器組立て,機械・電気・ものづくり,3,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0849,電気製図・CADオペレーター,機械・電気・ものづくり,3,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0860,音楽制作(DTM)スタッフ,デザイン・美術・文化,3,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0861,音楽関連スタッフ,デザイン・美術・文化,3,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0877,鳶工,建築・設備,3,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0010,DTPオペレーター,IT・情報処理,2,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0013,FRP成形工,機械・電気・ものづくり,2,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0017,ITコンサルタント,IT・情報処理,2,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0020,ITサポート,IT・情報処理,2,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0023,ITトレーナー,IT・情報処理,2,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0042,さく井工,土木・測量・建設,2,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0046,みそ製造,食品・調理・栄養,2,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0050,アルマイト処理工,機械・電気・ものづくり,2,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0051,アロマショップ店員,美容・サービス・スポーツ,2,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0052,アロマセラピスト,美容・サービス・スポーツ,2,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0059,ウェルポイント施工,土木・測量・建設,2,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0066,カーテンウォール施工,建築・設備,2,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0068,ガラスフィルム施工,建築・設備,2,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0075,グラフィックデザイナー,IT・情報処理,2,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0078,コンクリート圧送工,土木・測量・建設,2,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0079,コンサルタント,安全・環境・危険物,2,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0084,サッシ・建具取付工,建築・設備,2,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0085,サーバー・ネットワーク管理者,IT・情報処理,2,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0087,サービス提供責任者,福祉・介護・心理,2,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0097,タイル工,建築・設備,2,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0101,ダム水路主任技術者,土木・測量・建設,2,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0110,データベースエンジニア,IT・情報処理,2,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0121,ニット製品製造,機械・電気・ものづくり,2,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0124,ネットワークエンジニア,IT・情報処理,2,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0152,フラワー装飾,デザイン・美術・文化,2,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0156,ブライダルコーディネーター,美容・サービス・スポーツ,2,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0157,ブロック建築工,建築・設備,2,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0170,ボイラー溶接士,機械・電気・ものづくり,2,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0171,ボーリング調査スタッフ,安全・環境・危険物,2,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0182,リラクゼーションスタッフ,美容・サービス・スポーツ,2,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0190,ロープ加工,機械・電気・ものづくり,2,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0209,中国関連ビジネス,語学・コミュニケーション,2,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0220,交通誘導警備,安全・環境・危険物,2,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0221,交通誘導警備員,安全・環境・危険物,2,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0231,介護職員,福祉・介護・心理,2,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0233,企業の健康管理担当,美容・サービス・スポーツ,2,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0255,作業環境測定士,安全・環境・危険物,2,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0260,保健指導スタッフ,美容・サービス・スポーツ,2,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0263,健康相談員,美容・サービス・スポーツ,2,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0264,健康管理士,美容・サービス・スポーツ,2,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0282,冷凍空調設備の施工,建築・設備,2,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0286,切削工具研削,機械・電気・ものづくり,2,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0294,化学・製造業,機械・電気・ものづくり,2,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0295,化学分析技術者,機械・電気・ものづくり,2,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0304,医薬品・医療機器メーカーの製造管理,機械・電気・ものづくり,2,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0306,印刷オペレーター,機械・電気・ものづくり,2,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0307,印刷・製版オペレーター,IT・情報処理,2,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0308,印章彫刻,機械・電気・ものづくり,2,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0314,厨房設備施工,建築・設備,2,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0318,各種ドライバー職,運輸・運転・航空,2,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0321,品質管理担当,機械・電気・ものづくり,2,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0326,営業,IT・情報処理,2,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0348,地盤調査員,安全・環境・危険物,2,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0350,地質調査技術者,安全・環境・危険物,2,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0351,型枠大工,建築・設備,2,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0355,塗装工,機械・電気・ものづくり,2,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0359,外勤業務,運輸・運転・航空,2,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0366,大工,建築・設備,2,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0368,契約管理,法律・法務・知財,2,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0375,家具職人,機械・電気・ものづくり,2,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0382,寝具製作,機械・電気・ものづくり,2,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0383,専修学校・専門学校教員,教育・保育・学術,2,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0384,専門学校講師,教育・保育・学術,2,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0393,屋根工事,建築・設備,2,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
o-0394,屋根職人,建築・設備,2,厚労省 職業情報提供サイト（jobtag）を出所とする careers の正規化
