occ_id,summary,work,skills,source
o-0011,DX推進は、デジタル技術で業務や事業を変革するDXを企業内で推進する職種です。,業務のデジタル化や新しい仕組みの導入を企画・推進し、各部門を巻き込んで変革を進めます。ITと業務の両面から改善をリードします。,ITの知識、業務改善、企画・推進、データ活用、プロジェクト管理、コミュニケーション,編集部による職種解説
o-0012,DX推進担当は、社内のデジタル変革（DX）を企画・推進する担当者です。,業務のデジタル化や新しい仕組みの導入を企画し、各部門と連携して変革を進めます。データやITを活用し、業務効率化や新たな価値創出をリードします。,ITの知識、業務改善、企画・推進、データ活用、プロジェクト管理、コミュニケーション,編集部による職種解説
o-0013,FRP成形工は、ガラス繊維強化プラスチック（FRP）製品を成形する職種です。成形・積層の技能が求められます。,FRP成形工は、ガラス繊維と樹脂を積層してFRP（強化プラスチック）製品を成形する仕事です。型に積層・硬化・脱型し、ボートや水槽・部材などを製造します。,FRP成形の技能、積層・硬化の知識、樹脂・繊維の扱い、品質検査、安全衛生、丁寧さ,編集部による職種解説
o-0014,ICT支援員は、学校などでICT機器の活用を支援する職種です。IT基礎やICT支援員に関する知識が役立ちます。,ICT支援員は、学校などでICT機器やソフトの活用を支援する仕事です。授業でのタブレット・電子黒板の準備や操作サポート、教員へのアドバイス、トラブル対応を行います。,ICT機器の知識、PC・ネットワークの基礎、サポート対応、教育現場の理解、コミュニケーション,編集部による職種解説
o-0015,ITエンジニアは、ITシステムの開発・運用を担う技術者です。情報処理技術者試験が評価されます。,ITエンジニアは、ソフトウェアやシステム、インフラの開発・構築・運用を担う技術者の総称です。設計・実装・テスト・保守を通じて、ITで業務や課題を解決します。,プログラミングまたはインフラの知識、情報処理技術者試験、設計、論理的思考、ドキュメント作成,編集部による職種解説
o-0016,ITガバナンス・リスク管理は、企業のITの統制とリスク管理を担う職種です。,IT投資や運用が経営方針・法令に沿うよう統制ルールを整備し、情報セキュリティや障害・コンプライアンスのリスクを評価・管理します。監査対応も行います。,ITガバナンス、リスク管理、情報セキュリティ、内部統制、監査の知識、論理的思考,編集部による職種解説
o-0017,ITコンサルタントは、企業のIT戦略やシステム導入を助言する職種です。情報処理技術者試験など高度なIT知識が信頼につながります。,ITコンサルタントは、企業のIT戦略やシステム導入を支援する仕事です。経営・業務課題をヒアリングし、最適なIT活用や改善策を提案・推進します。,ITの幅広い知識、業務分析、提案・プレゼン、プロジェクト管理、情報処理の知識、コミュニケーション,編集部による職種解説
o-0018,ITコンサルタント補助は、ITコンサルタントを支援し、調査・資料作成などを担う職種です。,現状調査やデータ収集、提案資料・議事録の作成、顧客との調整補助を行い、コンサルティング業務を支えます。実務を通じて知見を磨きます。,IT・業務の基礎知識、資料作成、調査・分析、ドキュメント、調整力、コミュニケーション,編集部による職種解説
o-0019,ITコーディネータは、経営とITをつなぎ、企業のIT活用・経営改革を支援する職種です。,経営課題をヒアリングし、IT戦略の策定やシステム導入を中立的な立場で支援します。中小企業のDXや情報化の伴走役を担います。,IT・経営の知識、ITコーディネータの資格、提案・調整、プロジェクト管理、コミュニケーション,編集部による職種解説
o-0020,ITサポートは、社内外のPC・システム利用を支援・保守する職種です。IT基礎やヘルプデスクのスキルが役立ちます。,ITサポートは、社内外のPC・システム・ネットワークの利用を支援し、トラブルを解決する仕事です。問い合わせ対応、設定・キッティング、障害の一次対応などを行います。,PC・ネットワークの知識、ヘルプデスク対応、トラブルシュート、IT基礎、コミュニケーション、ドキュメント,編集部による職種解説
o-0021,ITサービス運用管理は、ITサービスが安定して提供されるよう運用を管理する職種です。,システムやサービスの監視・障害対応・変更管理・問い合わせ対応を行い、サービス品質（SLA）を維持します。ITILなどの考え方で運用を改善します。,IT運用、ITサービスマネジメント、監視・障害対応、ドキュメント、調整力、IT知識,編集部による職種解説
o-0022,ITストラテジストは、経営戦略に基づいて情報戦略を策定する、IT技術者の最上位職の一つです。,経営層とともにIT戦略・システム化構想を立案し、事業に貢献するIT投資の方針を示します。プロジェクトの企画・推進をリードします。,IT戦略、経営・業務の理解、構想力、プロジェクト管理、高度情報処理の知識、提案力,編集部による職種解説
o-0023,ITトレーナーは、ITスキルやソフト操作を指導する職種です。MOSやIT系資格、指導力が評価されます。,ITトレーナーは、ソフトやシステムの使い方を、利用者・社員に教える仕事です。研修やマニュアルを作成し、受講者のレベルに合わせて分かりやすく指導します。,ITスキル、教える力、教材・マニュアル作成、プレゼン、コミュニケーション、関連資格,編集部による職種解説
o-0024,ITプロジェクトマネージャは、ITプロジェクトの計画・実行・管理を統括する職種です。,予算・スケジュール・品質・要員・リスクを管理し、開発チームと顧客を調整してプロジェクトを成功に導きます。進捗や課題の管理を行います。,プロジェクト管理、リスク・進捗管理、リーダーシップ、調整・交渉、IT知識、ドキュメント,編集部による職種解説
o-0025,IT企画は、企業のIT活用やシステム化を企画・立案する職種です。,業務課題をふまえてシステム化の構想や投資計画を立て、導入を推進します。経営とITをつなぎ、効果的なIT施策を企画します。,IT・業務の知識、企画・構想、投資評価、プロジェクト管理、提案、コミュニケーション,編集部による職種解説
o-0026,IoT・制御系開発は、機器やセンサーをネットワークにつなぐIoTや制御システムを開発する職種です。,センサー・マイコン・通信を組み合わせて機器を制御し、データを収集・活用するシステムを設計・実装します。ハードとソフトの両面を扱います。,組込み・制御の知識、C言語等、通信・ネットワーク、回路の理解、デバッグ、論理的思考,編集部による職種解説
o-0027,Javaプログラマは、Javaを使って業務システムやWebアプリを開発するプログラマです。,設計に基づきJavaでコーディング・テスト・デバッグを行い、企業システムやWebサービスを構築します。フレームワークを活用して効率的に開発します。,Java、オブジェクト指向、フレームワーク、データベース、デバッグ、情報処理の基礎,編集部による職種解説
o-0028,Java開発エンジニアは、Javaでアプリケーションを開発する職種です。Javaの認定資格や情報処理技術者試験が活きます。,Java開発エンジニアは、Javaを使って業務システムやWebアプリを開発する仕事です。フレームワークを活用して設計・実装・テストを行い、企業の基幹システムなどを構築します。,Java、フレームワーク、データベース、オブジェクト指向、情報処理の基礎、デバッグ,編集部による職種解説
o-0029,LPガス・高圧ガス販売店の保安業務は、ガスの供給設備の保安・点検を担う仕事です。,LPガス・高圧ガスの容器・配管・消費設備を点検・保安し、漏えいや事故を防ぎます。法令に基づく保安管理と顧客対応を行います。,高圧ガス・液化石油ガスの資格、保安・点検、ガス設備の知識、法令、安全管理、顧客対応,編集部による職種解説
o-0030,Linuxサーバエンジニアは、Linuxサーバの構築・運用・保守を担う技術者です。,WebやアプリのサーバをLinuxで構築・設定し、監視・チューニング・障害対応を行って安定稼働を維持します。セキュリティ対策も担います。,Linux、サーバ構築・運用、シェル・スクリプト、ネットワーク、セキュリティ、トラブル対応,編集部による職種解説
o-0031,PMO（プロジェクトマネジメントオフィス）は、プロジェクト管理を支援・標準化する職種です。,進捗・課題・予算の管理や、会議運営・資料作成・ルール整備を通じて、プロジェクトマネージャやチームを支えます。複数案件の横断管理も行います。,プロジェクト管理、進捗・課題管理、資料作成、調整力、データ集計、コミュニケーション,編集部による職種解説
o-0032,POP制作スタッフは、店頭のPOPや販促物を制作する職種です。POP広告や商品装飾の技能が活きます。,POP制作スタッフは、店頭の販促物（POP）や価格表示、ポスターなどを制作する仕事です。手書きやソフトを使い、商品が目立ち売場が魅力的になるよう表現します。,POP広告の技能、レタリング・配色、デザインソフト、販促の理解、スピード、丁寧さ,編集部による職種解説
o-0033,SIerのプロジェクト管理は、システム開発会社（SIer）でプロジェクトを管理する職種です。,顧客向けのシステム開発で、進捗・品質・コスト・要員を管理し、協力会社や顧客と調整してプロジェクトを進めます。課題やリスクに対応します。,プロジェクト管理、IT知識、進捗・課題管理、調整・折衝、ドキュメント、リーダーシップ,編集部による職種解説
o-0034,SOC/CSIRTは、サイバー攻撃の監視・分析と、インシデント対応を担うセキュリティ専門職です。,SOCではログや通信を監視して脅威を検知・分析し、CSIRTでは発生したインシデントに対応・復旧・再発防止を行います。組織の情報資産を守ります。,情報セキュリティ、ログ分析、インシデント対応、ネットワーク、脅威の知識、冷静な判断,編集部による職種解説
o-0035,UIデザインは、アプリやWebの操作画面（ユーザーインターフェース）を設計する職種です。,使いやすく分かりやすい画面のレイアウト・配色・操作の流れを設計し、デザインツールで形にします。ユーザー視点で操作性を高めます。,UI/UX、デザインツール、配色・レイアウト、プロトタイピング、HTML/CSSの理解、ユーザー視点,編集部による職種解説
o-0036,Webコーダーは、デザインをもとにHTML/CSSなどでWebページを実装する職種です。マークアップやウェブデザイン技能の資格・スキルが基礎となります。,Webコーダーは、デザインカンプをもとにHTML/CSS・JavaScriptでWebページを実装する仕事です。レスポンシブ対応やブラウザ間の表示確認を行い、デザインを正確に動くページへと組み上げます。,HTML/CSS、JavaScriptの基礎、レスポンシブ対応、デザインツールの理解、ブラウザ検証、コーディング,編集部による職種解説
o-0037,Webデザイナーは、WebサイトのデザインやUIを制作する職種です。配色・レイアウトの知識に加え、HTML/CSSやデザインツール、ウェブデザイン技能の資格が強みになります。,Webデザイナーは、Webサイトの見た目（レイアウト・配色・UI）をデザインし、HTML/CSSなどで形にする仕事です。クライアントの目的やユーザーの使いやすさを考え、デザインツールとコーディングで魅力的なサイトを制作します。,デザイン（配色・レイアウト）、HTML/CSS、デザインツール、UI/UX、Webの基礎知識、コミュニケーション,編集部による職種解説
o-0038,Web制作は、Webサイトの企画・デザイン・コーディング・公開を行う仕事です。,クライアントの要望をもとにサイトを設計・制作し、コンテンツ作成や更新、公開後の運用・改善を行います。,HTML/CSS、デザイン、CMS、ライティング、SEOの基礎、進行管理,編集部による職種解説
o-0039,Web制作スタッフは、Webサイトの企画・制作・更新を担う職種です。デザイン・コーディング・運用の幅広いスキルと関連資格が活きます。,Web制作スタッフは、Webサイトの企画・デザイン・コーディング・更新・運用を担う仕事です。クライアントの要望をヒアリングし、コンテンツを作成・公開し、アクセス解析をもとに改善します。,HTML/CSS、デザイン、CMS操作、ライティング、SEOの基礎、進行管理,編集部による職種解説
o-0040,あん摩マッサージ指圧師は、手技で身体の不調をやわらげる施術を行う国家資格の専門職です。,あん摩・マッサージ・指圧の手技で、筋肉のこりや血行不良などをやわらげ、健康の維持・回復を支援します。施術所や医療・福祉施設、訪問で活躍します。,あん摩マッサージ指圧師の国家資格、手技、解剖・生理の知識、カウンセリング、衛生管理、体力,編集部による職種解説
o-0041,きゅう師は、灸（きゅう）による施術を行う国家資格の専門職です。,ツボにもぐさ等で温熱刺激を与える灸の施術で、体の不調の改善や健康維持を図ります。はり師と兼ねて鍼灸院で施術することが多い職種です。,きゅう師の国家資格、施術技術、経穴・東洋医学の知識、衛生管理、カウンセリング、丁寧さ,編集部による職種解説
o-0042,さく井工は、井戸やボーリング孔を掘削する職種です。さく井の技能資格が活きます。,さく井工は、井戸や観測孔などをボーリング機械で掘削する仕事です。地層を見ながら掘り進め、ケーシングやポンプの設置を行って水源や調査孔を作ります。,さく井の技能、ボーリング機械の操作、地質の知識、安全管理、機械の保全、体力,編集部による職種解説
o-0043,とび職は、高所で足場の組立・解体や鉄骨建方を行う建設の専門職です。足場・玉掛けなどの技能講習・資格が必須・推奨となります。,とび職は、建設現場で足場の組立・解体や鉄骨の建方、重量物の据付などを高所で行う仕事です。工事の最初に足場を架け、他職種が安全に作業できる土台をつくる、現場に不可欠な専門職です。,足場・鉄骨の施工技能、高所作業、玉掛け、バランス感覚、安全管理、体力,編集部による職種解説
o-0044,はり師は、鍼（はり）による施術を行う国家資格の専門職です。,ツボに鍼を打つ施術で、痛みや不調の緩和、体調の調整を図ります。鍼灸院や治療院で、きゅう師と兼ねて活躍することが多い職種です。,はり師の国家資格、施術技術、経穴・東洋医学の知識、衛生管理、カウンセリング、手先の器用さ,編集部による職種解説
o-0045,ふぐ調理は、毒を持つふぐを安全に処理・調理する専門の調理職です。,都道府県の免許に基づき、ふぐの有毒部位を確実に除去して、刺身・ちり・唐揚げなどに調理します。安全管理を徹底し、ふぐ料理を提供します。,ふぐ調理師の免許、ふぐ処理の技能、調理技術、衛生・安全管理、包丁さばき、食品知識,編集部による職種解説
o-0046,みそ製造は、みそを製造する職種です。発酵・食品製造の技能と衛生知識が求められます。,みそ製造は、大豆・米麹・塩を仕込み、発酵・熟成させてみそを製造する仕事です。配合や温度・期間を管理し、安定した品質と風味を作り出します。,醸造・発酵の知識、製造の技能、衛生管理、品質管理、温度・工程管理、体力,編集部による職種解説
o-0047,めっき工は、金属や樹脂の表面にめっきを施す職種です。めっき技能士の資格が評価されます。,めっき工は、金属や樹脂の表面に、装飾や防錆・耐久性向上のためにめっきを施す仕事です。前処理から電気めっき・無電解めっきまでの工程を管理し、品質と膜厚を整えます。,めっきの技能（技能士）、表面処理の知識、薬品・工程管理、品質検査、安全衛生,編集部による職種解説
o-0048,アクチュアリーは、確率・統計を用いて保険や年金のリスクと収支を計算する専門職です。,保険料率や責任準備金の算定、年金財政の検証、リスク評価などを数理的に行い、保険会社や年金・コンサルで事業の健全性を支えます。,数理・統計、アクチュアリーの資格、保険・年金の知識、分析力、Excel・プログラミング、論理的思考,編集部による職種解説
o-0049,アプリケーション開発者は、業務・スマホ等のアプリを開発する職種です。情報処理技術者試験や言語系資格が基礎力の証明になります。,アプリケーション開発者は、業務システムやスマホ・Webのアプリを開発する仕事です。要件をもとに設計・コーディング・テストを行い、利用者が使うソフトウェアを形にします。,プログラミング言語、設計、データベース、テスト、情報処理の基礎、課題解決,編集部による職種解説
o-0050,アルマイト処理工は、アルミの陽極酸化（アルマイト）処理を行う職種です。表面処理の技能が活きます。,アルマイト処理工は、アルミ製品の表面を陽極酸化（アルマイト）処理して、耐食性や装飾性を高める仕事です。前処理から着色・封孔までの工程を管理します。,表面処理の技能、薬品・電解の知識、工程・品質管理、膜厚の検査、安全衛生、丁寧さ,編集部による職種解説
o-0051,アロマショップ店員は、アロマ製品の販売・接客を行う職種です。アロマテラピーの知識・検定が役立ちます。,アロマショップ店員は、アロマ製品（精油・雑貨等）の販売・接客を行う仕事です。香りや使い方をアドバイスし、客の目的に合った商品を提案します。,アロマテラピーの知識、検定資格、接客・提案、商品知識、コミュニケーション、ディスプレイ,編集部による職種解説
o-0052,アロマセラピストは、精油を用いた施術やアドバイスを行う職種です。アロマテラピー検定などの資格が活きます。,アロマセラピストは、精油を使ったトリートメントや香りのアドバイスを行い、心身のリラックスを促す仕事です。客の状態に合わせて施術し、安全に配慮します。,アロマテラピーの知識・資格、施術技術、カウンセリング、精油・解剖の知識、衛生管理、接客,編集部による職種解説
o-0053,インテリアコーディネーターは、住宅・店舗の内装や家具・照明を提案・調整する職種です。,客の要望や予算に合わせて、内装材・家具・カーテン・照明などをコーディネートし、快適で魅力的な空間を提案します。商品選定や見積もりも行います。,インテリアの知識、インテリアコーディネーターの資格、提案・プレゼン、色彩・デザイン、図面の理解、接客,編集部による職種解説
o-0054,インテリア設計は、住宅・店舗などの内装空間を設計する仕事です。,用途や要望に応じて、間取り・内装・家具・照明のプランを設計し、図面やパースにまとめます。素材選定や施工との調整も行います。,インテリアの知識、設計・製図、CAD、色彩・デザイン、提案、コミュニケーション,編集部による職種解説
o-0055,インバウンド対応は、訪日外国人客への案内・接客・サポートを担う仕事です。,観光・宿泊・小売などの場面で、語学を使って外国人客に対応し、案内や問い合わせ、トラブル対応を行います。文化の違いに配慮したサービスを提供します。,英語・中国語などの語学力、接客・接遇、異文化理解、観光の知識、対応力、コミュニケーション,編集部による職種解説
o-0056,インバウンド接客スタッフは、訪日外国人客の接客・案内を担う職種です。英語・中国語などの語学力と接遇スキルが評価されます。,インバウンド接客スタッフは、ホテル・小売・観光施設などで訪日外国人客の接客・案内・販売を行う仕事です。語学を使って要望に応え、文化の違いに配慮しながら満足度の高いサービスを提供します。,英語・中国語などの語学力、接客・接遇、異文化理解、商品・観光の知識、コミュニケーション,編集部による職種解説
o-0057,インフラSEは、サーバ・ネットワークなどのITインフラを設計・構築・運用するエンジニアです。,システムの土台となるインフラを要件に沿って設計・構築し、監視・保守・障害対応で安定稼働を支えます。クラウド環境の構築も増えています。,サーバ・ネットワーク、クラウド、Linux/Windows、セキュリティ、運用・監視、トラブル対応,編集部による職種解説
o-0058,インフラエンジニアは、サーバ・ネットワーク・クラウドなどITインフラの設計・構築・運用を担う職種です。ネットワークやデータベース等の高度区分、クラウド資格が強みになります。,インフラエンジニアは、サーバ・ネットワーク・クラウドなどのITインフラを設計・構築・運用・保守する仕事です。システムが安定して動くよう、性能・可用性・セキュリティを確保します。,サーバ・ネットワーク、クラウド、Linux、セキュリティ、運用・監視、トラブル対応,編集部による職種解説
o-0059,ウェルポイント施工は、地下水位を下げるウェルポイント工法の施工を行う職種です。土木の技能が求められます。,ウェルポイント施工は、地下水位を下げるウェルポイント工法で、掘削現場の排水・地盤安定を図る仕事です。井戸・ポンプを設置・管理し、工事を安全に進めます。,ウェルポイント工法の技能、地盤・排水の知識、ポンプ・機械の扱い、安全管理、施工、体力,編集部による職種解説
o-0060,エグゼクティブアシスタントは、経営層を高度に補佐する秘書・アシスタント職です。,役員のスケジュール・出張・会議の管理、社内外の調整、資料作成、機密情報の管理などを担い、経営層が意思決定に集中できるよう支えます。語学を使う場面も多い職種です。,高度な秘書スキル、スケジュール・調整、文書作成、英語などの語学、機密保持、コミュニケーション,編集部による職種解説
o-0061,エネルギー管理士は、工場などで省エネルギーを推進する国家資格の専門職です。,エネルギーの使用状況を把握・分析し、設備の運用改善や省エネ計画を立てて、エネルギーの合理化を進めます。法令に基づく管理・報告も行います。,エネルギー管理士の資格、電気・熱の知識、省エネ・設備の知識、データ分析、法令、改善提案,編集部による職種解説
o-0062,エンジン組立ては、エンジンの組立・調整を行う職種です。機械組立ての技能と品質管理が求められます。,エンジン組立ては、自動車・産業機械などのエンジンを部品から組み立て、調整・検査する仕事です。図面・手順に沿って正確に組み付け、性能や品質を確保します。,機械組立ての技能、図面の読解、工具・測定器の扱い、品質管理、正確さ,編集部による職種解説
o-0063,オフィスワークは、データ入力・書類作成・庶務などオフィスの内勤業務全般を指します。WordやExcelの操作、文書処理の資格が評価されやすい職種です。,オフィスワークは、データ入力・書類作成・電話応対・庶務など、オフィスの内勤業務全般を指します。WordやExcelを使った資料作成や、社内の各種手続き・サポートを通じて、組織の運営を支えます。,PC操作（Word・Excel）、ビジネス文書、ビジネスマナー、正確な事務処理、コミュニケーション,編集部による職種解説
o-0065,オートバイ整備士は、オートバイの点検・整備・修理を行う専門職です。,エンジン・ブレーキ・電装などを点検・整備し、故障診断や部品交換を行って、安全に走行できる状態に保ちます。カスタムや車検整備にも対応します。,二輪整備の技能、エンジン・電装の知識、故障診断、工具の扱い、安全管理、接客,編集部による職種解説
o-0066,カーテンウォール施工は、ビル外壁のカーテンウォールを施工する職種です。建築施工の技能が活きます。,カーテンウォール施工は、ビルの外壁となるカーテンウォール（金属・ガラスのパネル）を取り付ける仕事です。高所で精度よく施工し、止水・耐風・意匠を確保します。,建築施工の技能、図面の理解、高所作業、止水・気密の知識、安全管理、丁寧さ,編集部による職種解説
o-0067,ガソリンスタンドスタッフは、給油所で給油・販売・保安を担う職種です。危険物取扱者（乙種第4類）が必須・推奨です。,ガソリンスタンドスタッフは、給油所で給油・洗車・点検・販売・会計などを行う仕事です。危険物を扱うため保安に注意し、接客と安全管理を両立させます。,危険物取扱者（乙4）、接客、給油・点検の知識、安全・保安、レジ・会計、車の基礎知識,編集部による職種解説
o-0068,ガラスフィルム施工は、ガラスにフィルムを施工する職種です。施工の技能と知識が求められます。,ガラスフィルム施工は、建物や車のガラスに、遮熱・防犯・装飾などのフィルムを貼る仕事です。気泡やズレなく美しく施工し、機能を発揮させます。,フィルム施工の技能、ガラス・フィルムの知識、丁寧さ、採寸・カット、接客、安全管理,編集部による職種解説
o-0069,キッチン・住宅設備の提案・プランニングは、キッチンや住宅設備を提案・設計する仕事です。,顧客の要望に応じてシステムキッチン・浴室・洗面などの住宅設備を提案し、プランや見積もりを作成します。ショールーム接客も行います。,住宅設備の知識、提案・プランニング、CAD・図面、インテリアの知識、接客、見積もり,編集部による職種解説
o-0070,キャリアコンサルタントは、個人のキャリア形成を相談・支援する職種です。キャリアコンサルタントの国家資格が必要です。,キャリアコンサルタントは、個人の職業選択やキャリア形成について相談に応じ、自己理解・職業理解を助け、目標設定や就職・転職を支援する仕事です。学校・企業・就職支援機関などで活躍します。,キャリアコンサルタントの国家資格、傾聴・相談技法、労働市場の知識、面談、自己分析の支援,編集部による職種解説
o-0071,クラークは、病院や企業で、受付・記録・書類整理などの事務を担う職種です。,窓口対応、データ入力、書類・伝票の整理、電話応対などを行い、現場の事務を支えます。医療クラークなど配属先により業務が異なります。,事務処理、PC操作、ビジネスマナー、正確さ、コミュニケーション、専門分野の基礎知識,編集部による職種解説
o-0072,クリーニング師は、衣類の洗濯・しみ抜き・仕上げを行うクリーニングの専門職です。,繊維や汚れに応じた洗浄・しみ抜き・プレス仕上げを行い、衣類を傷めずきれいに仕上げます。クリーニング所には資格者の設置が必要です。,クリーニング師の資格、洗濯・しみ抜きの技能、繊維・薬剤の知識、仕上げ、衛生管理、接客,編集部による職種解説
o-0073,クレーンオペレーターは、クレーンを操作して荷を運ぶ職種です。クレーン運転士や玉掛けの資格が必要です。,クレーンオペレーターは、各種クレーンを操作して重量物を吊り上げ・運搬・据付する仕事です。玉掛け作業者と連携し、合図に従って安全・正確に荷を移動させます。,クレーン運転士・玉掛けの資格、操作技能、荷重・合図の知識、空間把握、安全管理、集中力,編集部による職種解説
o-0074,クレーン運転士は、クレーンを操作して重量物を吊り上げ・運搬する国家資格の技能職です。,工場・建設現場・港湾などで、合図に従ってクレーンを操作し、重い荷を安全・正確に移動・据付します。玉掛け作業者と連携して作業します。,クレーン運転士の免許、操作技能、荷重・合図の知識、空間把握、安全管理、集中力,編集部による職種解説
o-0075,グラフィックデザイナーは、広告・印刷物などのグラフィックを制作する職種です。デザイン・DTPの検定やツールスキルが活きます。,グラフィックデザイナーは、広告・パッケージ・ロゴ・印刷物などのグラフィックを企画・制作する仕事です。コンセプトに沿って文字・色・写真を構成し、伝わるデザインを作ります。,デザイン・色彩、グラフィックソフト、レイアウト・タイポグラフィ、DTP、表現力、提案力,編集部による職種解説
o-0076,ケアマネジャー（介護支援専門員）は、介護のケアプランを作成・調整する専門職です。,利用者の状態を把握してケアプランを作成し、介護サービス事業者との連絡調整やモニタリングを行います。利用者と家族の相談に応じ、適切な介護につなげます。,介護支援専門員の資格、介護・医療の知識、ケアプラン作成、相談・調整、制度の知識、コミュニケーション,編集部による職種解説
o-0077,ゲームグラフィッカーは、ゲームのキャラクターや背景などの画像を制作する職種です。CG・画像処理のスキルや検定が活きます。,ゲームグラフィッカーは、ゲームのキャラクター・背景・アイテム・エフェクトなどの画像やCGを制作する仕事です。世界観に合うビジュアルを作り、開発チームと連携して仕上げます。,2D/3DCGソフト、デザイン・色彩、ドット・イラスト、表現力、ゲームの理解、チーム連携,編集部による職種解説
o-0078,コンクリート圧送工は、ポンプ車で生コンクリートを圧送する職種です。コンクリート圧送施工の技能が求められます。,コンクリート圧送工は、コンクリートポンプ車を使って、生コンクリートを打設場所まで圧送する仕事です。配管・操作を行い、効率よく確実にコンクリートを送ります。,コンクリート圧送施工の技能、ポンプ車の操作、配管、コンクリートの知識、安全管理、チームワーク,編集部による職種解説
o-0079,コンサルタントは、専門知識で企業・個人の課題解決を助言する職種です。分野ごとの専門資格が信頼につながります。,コンサルタントは、専門知識をもとに、企業や個人の課題を分析し、解決策を提案・支援する仕事です。経営・業務・技術などの分野で、改善や意思決定を助けます。,専門分野の知識、分析・課題解決、提案・プレゼン、論理的思考、コミュニケーション、関連資格,編集部による職種解説
o-0080,コンサルティングは、専門知識で企業の課題を分析し、解決策を提案・支援する仕事です。,経営・業務・IT などの課題をヒアリング・分析し、改善策を立案して実行を支援します。資料作成や提案、プロジェクト推進を担います。,分析・課題解決、提案・プレゼン、専門知識、論理的思考、コミュニケーション、プロジェクト管理,編集部による職種解説
