slug,hellowork_code,name,name_raw,category,major_category,scope,is_bucket,is_duplicate,type,type_confidence,type_reason,authority,official_url,eligibility,exam_format,fee,pass_rate,frequency,difficulty,related_slugs,source_checked_at,status
c-1205,1205,第三種電気主任技術者,第三種電気主任技術者,鉱工業技術,機械・電気・ものづくり,domestic,0,0,国家,high,主任技術者(国家資格),一般財団法人 電気技術者試験センター,https://www.shiken.or.jp/,受験資格なし(誰でも受験可),4科目(理論・電力・機械・法規)五肢択一・CBT/筆記選択・科目合格制,"7,700円(ネット申込)/8,100円(書面)",16.0%(令和6年度上期),年2回(上期・下期),,,2026-06-18,published
c-1206,1206,1級電気工事施工管理技士,１級電気工事施工管理技士,鉱工業技術,機械・電気・ものづくり,domestic,0,0,国家,high,施工管理技士(国家資格),一般財団法人 建設業振興基金,https://www.fcip-shiken.jp/den1/,第一次は受検年度末に19歳以上・学歴不問/第二次は第一次合格後の所定実務経験(令和10年度まで経過措置),第一次検定=マークシート/第二次検定=記述式(第一次合格で技士補),,,年1回(第一次7月頃・第二次10〜11月頃),,,2026-06-18,published
c-1207,1207,2級電気工事施工管理技士,２級電気工事施工管理技士,鉱工業技術,機械・電気・ものづくり,domestic,0,0,国家,high,施工管理技士(国家資格),一般財団法人 建設業振興基金,https://www.fcip-shiken.jp/den2/,第一次は受検年度末に17歳以上・学歴不問/第二次は第一次合格後の所定実務経験(経過措置あり),第一次検定=マークシート/第二次検定=記述式(第一次合格で技士補),,,第一次は年2回(前期・後期)/第二次は年1回,,,2026-06-18,published
c-1208,1208,電気通信主任技術者(伝送交換),電気通信主任技術者（伝送交換）,鉱工業技術,機械・電気・ものづくり,domestic,0,0,国家,high,主任技術者(国家資格),一般財団法人 日本データ通信協会 電気通信国家試験センター,https://www.dekyo.or.jp/shiken/chief/,受験資格なし(誰でも受験可),電気通信システム・伝送交換設備及び設備管理・法規の3科目。科目免除制度あり,"29,000円(3科目)",34.6%(令和6年度第2回),年2回(7月・1月),,,2026-06-18,published
c-1209,1209,電気通信主任技術者(伝送交換),電気通信主任技術者（伝送交換）,鉱工業技術,機械・電気・ものづくり,domestic,0,1,国家,high,主任技術者(国家資格),,,,,,,,,,,seed
c-1210,1210,電気通信主任技術者(線路),電気通信主任技術者（線路）,鉱工業技術,機械・電気・ものづくり,domestic,0,0,国家,high,主任技術者(国家資格),一般財団法人 日本データ通信協会 電気通信国家試験センター,https://www.dekyo.or.jp/shiken/chief/,受験資格なし(誰でも受験可),電気通信システム・線路設備及び設備管理・法規の3科目・科目免除あり,"29,000円(3科目)",,年2回(7月・1月),,,2026-06-18,published
c-1211,1211,1級計装士,１級計装士,鉱工業技術,機械・電気・ものづくり,domestic,0,0,要確認,low,未判定(一次情報での確認待ち),一般社団法人 日本計装工業会,https://www.keiso.or.jp/sikenn/,計装工事の実務経験5年以上(2級合格者は4年6か月以上)等,学科試験＋実地試験,"学科7,530円/実地17,820円",学科約65.5%/実地約63.6%(近年),年1回(学科8月・実地12月),,,2026-06-18,published
c-1212,1212,2級計装士,２級計装士,鉱工業技術,機械・電気・ものづくり,domestic,0,0,要確認,low,未判定(一次情報での確認待ち),一般社団法人 日本計装工業会,https://www.keiso.or.jp/sikenn/,計装工事の実務経験2年以上,学科試験＋実地試験,"学科7,530円/実地17,820円",,年1回(学科8月・実地12月),,,2026-06-18,published
c-1214,1214,医薬部外品責任技術者,医薬部外品責任技術者,鉱工業技術,機械・電気・ものづくり,domestic,0,0,要確認,low,未判定(一次情報での確認待ち),厚生労働省/都道府県,https://www.tmiph.metro.tokyo.lg.jp/k_yakuji/i-sinsa/cosmetics/sekinin/,薬剤師、または薬学・化学の専門課程修了後に医薬品・医薬部外品の製造業務に3年以上従事 等,任用資格(試験なし。薬剤師、または学歴＋実務で要件を満たし企業が任命),,,,,,2026-06-18,published
c-1215,1215,医療機器責任技術者,医療機器責任技術者,鉱工業技術,機械・電気・ものづくり,domestic,0,0,要確認,low,未判定(一次情報での確認待ち),,,,,,,,,,,seed
c-1216,1216,原子炉主任技術者,原子炉主任技術者,鉱工業技術,機械・電気・ものづくり,domestic,0,0,国家,high,主任技術者(国家資格),原子力規制委員会,https://www.nra.go.jp/procedure/examination/index.html,受験資格なし(免状交付に運転従事6か月以上の経験要),筆記＋口答試問,"52,100円",29.5%(令和7年度・第67回筆記),年1回,,,2026-06-18,published
c-1217,1217,核燃料取扱主任者,核燃料取扱主任者,鉱工業技術,機械・電気・ものづくり,domestic,0,0,国家,high,原子炉等規制法(国家資格),原子力規制委員会,https://www.nra.go.jp/procedure/examination/index.html,受験資格なし,筆記＋口答試問,"47,700円",36.1%(令和7年度・第57回),年1回,,,2026-06-18,published
c-1218,1218,第1種放射線取扱主任者,第１種放射線取扱主任者,鉱工業技術,機械・電気・ものづくり,domestic,0,0,国家,high,放射線取扱主任者(国家資格),公益財団法人 原子力安全技術センター(原子力規制委員会登録試験機関),https://www.nustec.or.jp/syunin/syunin01.html,受験資格なし,筆記(マークシート)。合格後に講習修了が免状交付に必要,"19,800円",26.8%(令和7年度),年1回(8月),,,2026-06-18,published
c-1219,1219,第2種放射線取扱主任者,第２種放射線取扱主任者,鉱工業技術,機械・電気・ものづくり,domestic,0,0,国家,high,放射線取扱主任者(国家資格),公益財団法人 原子力安全技術センター(原子力規制委員会登録試験機関),https://www.nustec.or.jp/syunin/syunin01.html,受験資格なし,筆記(マークシート)。合格後に講習修了が必要,"14,124円",21.9%(令和6年度),年1回(8月),,,2026-06-18,published
c-1222,1222,甲種火薬類製造保安責任者,甲種火薬類製造保安責任者,鉱工業技術,機械・電気・ものづくり,domestic,0,0,国家,high,火薬類取締法(国家資格),都道府県知事(免許交付)/試験事務:公益社団法人 全国火薬類保安協会,https://www.zenkakyo-ex.or.jp/hoansekininsha2.html,受験資格なし(科目免除あり),筆記(記述式・複数科目。各科目60点以上で合格),,,年1回(11月上旬・2日間),,,2026-06-18,published
c-1223,1223,乙種火薬類製造保安責任者,乙種火薬類製造保安責任者,鉱工業技術,機械・電気・ものづくり,domestic,0,0,国家,high,火薬類取締法(国家資格),都道府県知事(免許交付)/試験事務:公益社団法人 全国火薬類保安協会,https://www.zenkakyo-ex.or.jp/hoansekininsha2.html,受験資格なし(科目免除あり),筆記(記述式・複数科目。各科目60点以上で合格),,,年1回(11月上旬・2日間),,,2026-06-18,published
c-1224,1224,丙種火薬類製造保安責任者,丙種火薬類製造保安責任者,鉱工業技術,機械・電気・ものづくり,domestic,0,0,国家,high,火薬類取締法(国家資格),都道府県知事(免許交付)/試験事務:公益社団法人 全国火薬類保安協会,https://www.zenkakyo-ex.or.jp/hoansekininsha.html,受験資格なし,筆記(法令・保安管理技術・製造方法・性能試験方法・一般教養),"18,000円(非課税)",,年1回(9月上旬),,,2026-06-18,published
c-1225,1225,高圧ガス製造保安責任者(甲種化学),高圧ガス製造保安責任者（甲種化学）,鉱工業技術,機械・電気・ものづくり,domestic,0,0,国家,high,高圧ガス保安法(国家資格),高圧ガス保安協会(KHK),https://www.khk.or.jp/qualification/national_qualification/examination/examination_about.html,受験資格なし(誰でも受験可),筆記3科目(法令・保安管理技術・学識),"インターネット17,300円/書面17,800円",53.1%(令和6年度・全体),年1回(11月),,,2026-06-18,published
c-1226,1226,高圧ガス製造保安責任者(甲種機械),高圧ガス製造保安責任者（甲種機械）,鉱工業技術,機械・電気・ものづくり,domestic,0,0,国家,high,高圧ガス保安法(国家資格),高圧ガス保安協会(KHK),https://www.khk.or.jp/qualification/national_qualification/examination/examination_about.html,受験資格なし(誰でも受験可),筆記3科目(法令・保安管理技術・学識),"インターネット17,300円/書面17,800円",42.4%(令和6年度・全体),年1回(11月),,,2026-06-18,published
c-1227,1227,高圧ガス製造保安責任者(第一種冷凍機械),高圧ガス製造保安責任者（第一種冷凍機械）,鉱工業技術,機械・電気・ものづくり,domestic,0,0,国家,high,高圧ガス保安法(国家資格),高圧ガス保安協会(KHK),https://www.khk.or.jp/qualification/national_qualification/examination/examination_about.html,受験資格なし(誰でも受験可),筆記。法令・保安管理技術・学識の3科目。検定(講習)合格者は保安管理技術・学識が免除,"28,100円",52.0%(令和6年度),年1回(11月),,,2026-06-18,published
c-1231,1231,技術士(機械部門),技術士（機械部門）,鉱工業技術,機械・電気・ものづくり,domestic,0,0,国家,high,技術士(国家資格),文部科学省所管(指定試験機関:公益社団法人 日本技術士会),https://www.engineer.or.jp/,技術士第一次試験合格(またはJABEE認定課程修了)＋技術士補登録後の実務4年超 等,技術士第二次試験。筆記(必須科目＋選択科目)＋口頭試験,"20,500円(1技術部門・令和8年改定後)",,年1回(筆記7月・口頭12〜翌1月),,,2026-06-18,published
c-1232,1232,技術士(電気電子部門),技術士（電気電子部門）,鉱工業技術,機械・電気・ものづくり,domestic,0,0,国家,high,技術士(国家資格),文部科学省所管(指定試験機関:公益社団法人 日本技術士会),https://www.engineer.or.jp/,技術士第一次試験合格(またはJABEE認定課程修了)＋技術士補登録後の実務4年超 等,技術士第二次試験。筆記(必須科目＋選択科目)＋口頭試験,"20,500円(1技術部門・令和8年改定後)",,年1回(筆記7月・口頭12〜翌1月),,,2026-06-18,published
c-1233,1233,技術士(金属部門),技術士（金属部門）,鉱工業技術,機械・電気・ものづくり,domestic,0,0,国家,high,技術士(国家資格),文部科学省所管(指定試験機関:公益社団法人 日本技術士会),https://www.engineer.or.jp/,技術士第一次試験合格(またはJABEE認定課程修了)＋技術士補登録後の実務4年超 等,技術士第二次試験。筆記(必須科目＋選択科目)＋口頭試験,"20,500円(1技術部門・令和8年改定後)",,年1回(筆記7月・口頭12〜翌1月),,,2026-06-18,published
c-1234,1234,技術士(化学部門),技術士（化学部門）,鉱工業技術,機械・電気・ものづくり,domestic,0,0,国家,high,技術士(国家資格),文部科学省所管(指定試験機関:公益社団法人 日本技術士会),https://www.engineer.or.jp/,技術士第一次試験合格(またはJABEE認定課程修了)＋技術士補登録後の実務4年超 等,技術士第二次試験。筆記(必須科目＋選択科目)＋口頭試験,"20,500円(1技術部門・令和8年改定後)",,年1回(筆記7月・口頭12〜翌1月),,,2026-06-18,published
c-1235,1235,技術士(生物工学部門),技術士（生物工学部門）,鉱工業技術,機械・電気・ものづくり,domestic,0,0,国家,high,技術士(国家資格),文部科学省所管(指定試験機関:公益社団法人 日本技術士会),https://www.engineer.or.jp/,技術士第一次試験合格(またはJABEE認定課程修了)＋技術士補登録後の実務4年超 等,技術士第二次試験。筆記(必須科目＋選択科目)＋口頭試験,"20,500円(1技術部門・令和8年改定後)",,年1回(筆記7月・口頭12〜翌1月),,,2026-06-18,published
c-1236,1236,技術士(資源工学部門),技術士（資源工学部門）,鉱工業技術,機械・電気・ものづくり,domestic,0,0,国家,high,技術士(国家資格),文部科学省所管(指定試験機関:公益社団法人 日本技術士会),https://www.engineer.or.jp/,技術士第一次試験合格(またはJABEE認定課程修了)＋技術士補登録後の実務4年超 等,技術士第二次試験。筆記(必須科目＋選択科目)＋口頭試験,"20,500円(1技術部門・令和8年改定後)",,年1回(筆記7月・口頭12〜翌1月),,,2026-06-18,published
c-1237,1237,発破技士,発破技士,鉱工業技術,機械・電気・ものづくり,domestic,0,0,国家,high,国家資格(法律に基づく),公益財団法人 安全衛生技術試験協会(免許交付は都道府県労働局長),https://www.exam.or.jp/introduction/h_shokai341/,受験資格なし(免許交付には実務経験等が必要),学科のみ(火薬類の知識・取扱い・発破の方法。各科目40%以上かつ合計60%以上で合格),"8,800円",,全国の安全衛生技術センターで定期実施,,,2026-06-18,published
c-1238,1238,1級電気通信工事施工管理技士,１級電気通信工事施工管理技士,鉱工業技術,機械・電気・ものづくり,domestic,0,0,国家,high,施工管理技士(国家資格),一般財団法人 全国建設研修センター,https://www.jctc.jp/exam/dentsu-1/,学歴・実務経験等(第一次は当該年度19歳以上),第一次検定＋第二次検定,"第一次14,300円・第二次14,300円(各非課税)",,年1回(第一次9月・第二次12月),,,2026-06-18,published
c-1239,1239,2級電気通信工事施工管理技士,２級電気通信工事施工管理技士,鉱工業技術,機械・電気・ものづくり,domestic,0,0,国家,high,施工管理技士(国家資格),一般財団法人 全国建設研修センター,https://www.jctc.jp/exam/dentsu-2/,第一次は当該年度17歳以上,第一次検定＋第二次検定,"第一次・第二次14,300円(第一次/第二次のみ各7,150円)",,年複数回(前期/後期),,,2026-06-18,published
c-1299,1299,その他の鉱工業技術関係資格,その他の鉱工業技術関係資格,鉱工業技術,機械・電気・ものづくり,domestic,1,0,,,バケット(その他の…),,,,,,,,,,,seed
c-1301,1301,一級建築士,一級建築士,建築技術,建築・設備,domestic,0,0,国家,high,国家資格(法律に基づく),公益財団法人 建築技術教育普及センター,https://www.jaeic.or.jp/shiken/1k/,建築士法に基づく所定の学歴・資格が必要(実務経験は免許登録時に確認),学科の試験＋設計製図の試験(学科合格者が設計製図を受験),"17,000円(非課税)",8.8%(令和6年度・総合),年1回(学科7月頃/設計製図10月頃),,,2026-06-18,published
c-1302,1302,二級建築士,二級建築士,建築技術,建築・設備,domestic,0,0,国家,high,国家資格(法律に基づく),公益財団法人 建築技術教育普及センター,https://www.jaeic.or.jp/shiken/2k/,所定の学歴、または建築実務経験7年以上等で受験可,学科の試験＋設計製図の試験(学科合格者が設計製図を受験),"18,500円(非課税)",,年1回(学科7月頃/設計製図9月頃),,,2026-06-18,published
c-1303,1303,木造建築士,木造建築士,建築技術,建築・設備,domestic,0,0,国家,high,国家資格(法律に基づく),公益財団法人 建築技術教育普及センター,https://www.jaeic.or.jp/shiken/mk/,指定科目を修めて卒業した者、または建築実務経験7年以上等,学科＋設計製図,"18,500円(非課税)",,年1回(学科7月頃・設計製図10月頃),,,2026-06-18,published
c-1304,1304,建築設備士,建築設備士,建築技術,建築・設備,domestic,0,0,国家,high,国家資格(法律に基づく),公益財団法人 建築技術教育普及センター,https://www.jaeic.or.jp/shiken/bmee/index.html,学歴＋実務経験、一級建築士等は実務2年以上、建築設備の実務のみは9年以上 等,第一次試験(学科:建築一般知識・建築法規・建築設備)＋第二次試験(設計製図),"36,300円",26.1%(令和6年度・総合),年1回,,,2026-06-18,published
c-1305,1305,1級建設機械施工技士,１級建設機械施工技士,建築技術,建築・設備,domestic,0,0,国家,high,建設機械施工技士(国家資格・建設業法),一般社団法人 日本建設機械施工協会(国土交通大臣指定試験機関),https://www.jcmanet.or.jp/shiken/,第一次は受検年度末で満17歳以上。第二次は第一次合格後に所定の実務経験が必要,第一次検定(学科)＋第二次検定(筆記＋実技。6種別から選択して操作),,,年1回,,,2026-06-18,published
c-1306,1306,2級建設機械施工技士,２級建設機械施工技士,建築技術,建築・設備,domestic,0,0,国家,high,建設機械施工技士(国家資格・建設業法),一般社団法人 日本建設機械施工協会(国土交通省所管),https://jcmanet-shiken.jp/,第一次は17歳以上で学歴・実務不問/第二次は学歴・実務経験等の受検資格あり,第一次検定＋第二次検定(第1〜6種の種別別),"第二次検定40,800円(種別ごと)",,年1回,,,2026-06-18,published
c-1307,1307,インテリアプランナー,インテリアプランナー,建築技術,建築・設備,domestic,0,0,要確認,low,未判定(一次情報での確認待ち),,,,,,,,,,,seed
c-1308,1308,インテリアコーディネーター,インテリアコーディネーター,建築技術,建築・設備,domestic,0,0,要確認,low,未判定(一次情報での確認待ち),公益社団法人 インテリア産業協会,https://www.interior.or.jp/examination/ic/overview/,受験資格なし(誰でも受験可),一次CBT＋二次(プレゼンテーション・論文),"14,850円(一次+二次)/11,550円(一次のみ)",24.9%(第42回・2024年度),年1回(一次9〜10月・二次12月),,,2026-06-18,published
c-1309,1309,商業施設士,商業施設士,建築技術,建築・設備,domestic,0,0,要確認,low,未判定(一次情報での確認待ち),公益社団法人 商業施設技術団体連合会(JTOCS),http://www.jtocs.or.jp/pages/cmspace_d/cmspace_d02-04.html,学科のみは満20歳以上/学科＋構想表現は実務経験5年以上等,学科(多肢択一)＋構想表現(実技),"学科のみ又は構想表現のみ13,200円/学科＋構想表現22,000円(税込)",,年2回(前期6〜7月・後期12〜1月),,,2026-06-18,published
c-1310,1310,建築設備検査員,建築設備検査員,建築技術,建築・設備,domestic,0,0,国家,high,国家資格(法律に基づく),国土交通大臣登録講習機関(一般財団法人 日本建築設備・昇降機センター 等),https://www.beec.or.jp/course/mlit_course1/,受講資格区分による(学歴＋建築設備等の実務経験),講習＋修了考査(30問中20問以上で合格),,,年複数回実施,,,2026-06-18,published
c-1311,1311,昇降機等検査員,昇降機等検査員,建築技術,建築・設備,domestic,0,0,国家,high,国家資格(法律に基づく),国土交通大臣登録講習機関(一般財団法人 日本建築設備・昇降機センター 等),https://www.beec.or.jp/course/mlit_course2/,大学で機械・電気工学等を修めて卒業後、昇降機・遊戯施設に関し2年以上の実務経験(短大3年・高専4年 等),講習(4日間・22.5時間)＋修了考査(30問中20問以上で合格),"46,200円(税込・テキスト代含む)",,年複数回実施,,,2026-06-18,published
c-1312,1312,特定建築物調査員,特定建築物調査員,建築技術,建築・設備,domestic,0,0,国家,high,国家資格(法律に基づく),国土交通大臣登録講習機関(一般財団法人 日本建築防災協会 等),https://www.mlit.go.jp/jutakukentiku/build/jutakukentiku_house_tk_000060.html,受講資格あり(建築士・所定学歴＋実務経験 等),講習修了型(学科講習＋修了考査),"54,450円(税込)",,年1回程度,,,2026-06-18,published
c-1313,1313,建築物環境衛生管理技術者,建築物環境衛生管理技術者,建築技術,建築・設備,domestic,0,0,国家,high,国家資格(法律に基づく),公益財団法人 日本建築衛生管理教育センター(厚生労働省所管),https://jahmec.or.jp/kokka/,所定用途の建築物で環境衛生維持管理の実務2年以上,午前・午後の択一式(四肢択一・7科目180問),"17,900円(非課税)",23.2%(第54回・令和6年度),年1回(10月),,,2026-06-18,published
c-1314,1314,設備管理士,設備管理士,建築技術,建築・設備,domestic,0,0,要確認,low,未判定(一次情報での確認待ち),,,,,,,,,,,seed
c-1315,1315,1級建築施工管理技士,１級建築施工管理技士,建築技術,建築・設備,domestic,0,0,国家,high,施工管理技士(国家資格),一般財団法人 建設業振興基金,https://www.fcip-shiken.jp/ken1/,第一次は受検年度末に19歳以上・学歴不問/第二次は第一次合格後の所定実務経験(令和10年度まで経過措置),第一次検定=マークシート/第二次検定=記述式(第一次合格で技士補),,,年1回(第一次7月頃・第二次10〜11月頃),,,2026-06-18,published
c-1316,1316,2級建築施工管理技士,２級建築施工管理技士,建築技術,建築・設備,domestic,0,0,国家,high,施工管理技士(国家資格),一般財団法人 建設業振興基金,https://www.fcip-shiken.jp/ken2/,第一次は受検年度末に17歳以上・学歴不問/第二次は第一次合格後の所定実務経験(経過措置あり),第一次検定=マークシート/第二次検定=記述式(第一次合格で技士補),,,第一次は年2回(前期・後期)/第二次は年1回,,,2026-06-18,published
c-1317,1317,技術士(建設部門),技術士（建設部門）,建築技術,建築・設備,domestic,0,0,国家,high,技術士(国家資格),文部科学省所管(指定試験機関:公益社団法人 日本技術士会),https://www.engineer.or.jp/,技術士第一次試験合格(またはJABEE課程修了)＋技術士補登録後の実務4年超 等,技術士第二次試験。筆記(必須＋選択)＋口頭試験,"20,500円(1技術部門・令和8年改定後)",,年1回(筆記7月・口頭12〜翌1月),,,2026-06-18,published
c-1318,1318,建築積算士,建築積算士,建築技術,建築・設備,domestic,0,0,要確認,low,未判定(一次情報での確認待ち),公益社団法人 日本建築積算協会,https://www.bsij.or.jp/education/license/surveyor/index.html,受験年度の4月2日に満17歳以上(学歴・実務不問),一次(学科・四肢択一50問)＋二次(短文記述＋実技),"一次27,500円/二次27,500円(税込)",一次62.2%(2025年度)/二次59.5%(2024年度),年1回(一次10月・二次1月),,,2026-06-18,published
c-1319,1319,鉄骨製作管理技術者,鉄骨製作管理技術者,建築技術,建築・設備,domestic,0,0,要確認,low,未判定(一次情報での確認待ち),,,,,,,,,,,seed
c-1320,1320,建築CAD検定試験准1級,建築ＣＡＤ検定試験准１級,建築技術,建築・設備,domestic,0,0,要確認,low,未判定(一次情報での確認待ち),一般社団法人 全国建築CAD連盟(AACL),https://www.aacl.gr.jp/22jisshi-youkou01.html,学歴・年齢等の制限なし(誰でも受験可),CADソフトを用いた実技試験(250分),"15,500円(税込)",7.1%(2023年度),一般受験は10月のみ,,,2026-06-18,published
c-1321,1321,建築CAD検定試験2級,建築ＣＡＤ検定試験２級,建築技術,建築・設備,domestic,0,0,要確認,low,未判定(一次情報での確認待ち),一般社団法人 全国建築CAD連盟(AACL),https://www.aacl.gr.jp/22jisshi-youkou01.html,学歴・年齢等の制限なし(誰でも受験可),CADソフトを用いた実技試験(300分),"12,500円(税込)",58.3%(2023年度),年2回(4月・10月),,,2026-06-18,published
c-1322,1322,建築CAD検定試験3級,建築ＣＡＤ検定試験３級,建築技術,建築・設備,domestic,0,0,要確認,low,未判定(一次情報での確認待ち),一般社団法人 全国建築CAD連盟(AACL),https://www.aacl.gr.jp/22jisshi-youkou01.html,学歴・年齢等の制限なし(誰でも受験可),CADソフトを用いた実技試験(120分),"11,500円(税込)",69.7%(2023年度),年2回(4月・10月),,,2026-06-18,published
c-1323,1323,建設業経理士1級,建設業経理士１級,建築技術,建築・設備,domestic,0,0,要確認,low,未判定(一次情報での確認待ち),一般財団法人 建設業振興基金,https://www.keiri-kentei.jp/exam/,学歴等の制限なし(誰でも受験可),筆記(財務諸表・財務分析・原価計算の3科目。3科目合格で取得・科目合格5年有効),"1科目8,120円/2科目11,420円/3科目14,720円(税込)",財務諸表31.9%/財務分析26.4%/原価計算24.8%(2024年度下期),年2回(9月・3月),,,2026-06-18,published
c-1324,1324,建設業経理士2級,建設業経理士２級,建築技術,建築・設備,domestic,0,0,要確認,low,未判定(一次情報での確認待ち),一般財団法人 建設業振興基金,https://www.keiri-kentei.jp/exam/,学歴等の制限なし(誰でも受験可),筆記,"7,120円(税込)",47.2%(2024年度下期),年2回(9月・3月),,,2026-06-18,published
c-1325,1325,建設業経理事務士3級,建設業経理事務士３級,建築技術,建築・設備,domestic,0,0,要確認,low,未判定(一次情報での確認待ち),一般財団法人 建設業振興基金,https://www.keiri-kentei.jp/exam/,学歴等の制限なし(誰でも受験可),筆記(特別研修=講習＋検定試験),"5,820円(税込)",70.7%(2024年度下期),下期(3月)のみ,,,2026-06-18,published
